fid,id,Trial Name,TrialCode,ComboCode,Treatment,Block,DAS,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,PlotYield,PeakStand,HAYield
141,501,PYT Trial,25110,25110501,2,2,10,2185.762125,8043526.173,2185.762125,8043526.173,0.035479867,0.002533653,-0.047845948,0.000449948,0.223391147,0.006323846,0.028178111,0.027384105,0.907472075,0.083966508,52,1158.129012,0.383119446,1276.21449
142,502,PYT Trial,25110,25110502,5,2,10,1965.69602,8128107.041,1965.69602,8128107.041,0.047216386,0.002335173,-0.041324716,0.000371945,0.23834602,0.005965878,0.029480709,0.028611597,0.897447857,0.092035201,58,769.258665,0.429382991,857.1625182
143,503,PYT Trial,25110,25110503,6,2,10,1966.965412,5682851.119,1966.965412,5682851.119,0.051399969,0.002148944,-0.036392828,0.000343355,0.247271028,0.005077992,0.026239939,0.025551404,0.871738143,0.111810753,56,712.8690629,0.334150542,817.7559615
144,504,PYT Trial,25110,25110504,13,2,10,1871.851078,7431493.803,1871.851078,7431493.803,0.063715269,0.002943482,-0.028000859,0.000692799,0.258910359,0.005614099,0.029684024,0.028802883,0.861248311,0.119499658,52,1186.198652,0.504526808,1377.301572
145,505,PYT Trial,25110,25110505,12,2,10,1973.107705,6064989.94,1973.107705,6064989.94,0.055728887,0.00240465,-0.033415558,0.00058713,0.254103459,0.004511262,0.023679395,0.023118682,0.832723358,0.139295167,57,1316.933569,0.55529378,1581.477877
146,506,PYT Trial,25110,25110506,4,2,10,2091.645798,2635464.036,2091.645798,2635464.036,0.057744774,0.002675849,-0.03233652,0.000682796,0.250828633,0.003177317,0.013622695,0.013437117,0.898821313,0.09094156,67,695.9403081,0.45165147,774.2810479
147,507,PYT Trial,25110,25110507,4,3,10,2918.512942,5014873.006,2918.512942,5014873.006,0.052603077,0.00301592,-0.039284219,0.000479327,0.248855903,0.005431913,0.026289979,0.025598816,0.86560863,0.11633033,55,641.5099487,0.510237275,741.1085406
148,508,PYT Trial,25110,25110508,13,3,10,3405.703014,4430705.38,3405.703014,4430705.38,0.061384478,0.002496275,-0.036431825,0.000482237,0.251137093,0.004627512,0.024207631,0.023621621,0.92525354,0.069159427,65,394.6726573,0.416752386,426.5562251
149,509,PYT Trial,25110,25110509,8,3,10,3518.588524,4135655.139,3518.588524,4135655.139,0.052662026,0.002806569,-0.040068557,0.000649057,0.240597562,0.004587991,0.021878252,0.021399594,0.945089643,0.051895209,63,690.6980103,0.464214391,730.8280384
150,510,PYT Trial,25110,25110510,5,3,10,3090.842549,2306334.374,3090.842549,2306334.374,0.05664943,0.002649575,-0.036859245,0.000819195,0.236030111,0.003045197,0.010704845,0.010590252,0.78155874,0.170724676,45,1385.982028,0.377397752,1773.356189
151,511,PYT Trial,25110,25110511,1,3,10,3255.38889,2788613.61,3255.38889,2788613.61,0.055862873,0.002244819,-0.03874642,0.000668243,0.226540954,0.002616194,0.008234787,0.008166975,0.720099101,0.201556386,27,557.2721438,0.361317582,773.882571
152,512,PYT Trial,25110,25110512,10,3,10,3745.055918,2246909.704,3745.055918,2246909.704,0.036293147,0.001870783,-0.043207983,0.000482142,0.210847461,0.002897727,0.007511602,0.007455178,0.844008277,0.131658305,64,1164.974326,0.174859794,1380.287798
