fid,id,Trial Name,TrialCode,ComboCode,Treatment,Block,DAS,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,PlotYield,PeakStand,HAYield
1,101,AYT Trial,25111,25111101,1,1,10,2704.676203,10293556.14,2704.676203,10293556.14,0.063690008,0.009099672,-0.033861884,0.000736842,0.255850965,0.018101762,0.091019998,0.082735358,0.969945943,0.02915081,72,2712.503209,0.639213482,2796.550909
2,102,AYT Trial,25111,25111102,2,1,10,3744.368503,40554902.01,3744.368503,40554902.01,0.072802684,0.006933509,-0.030261519,0.000774862,0.27532694,0.020750776,0.113198747,0.10038479,0.904913955,0.086044689,57,2630.877728,0.506064303,2907.323634
3,103,AYT Trial,25111,25111103,3,1,10,3370.78047,27904617.66,3370.78047,27904617.66,0.078040029,0.007932935,-0.025044146,0.000705781,0.281218308,0.019766732,0.103250346,0.092589712,0.940133344,0.056282639,84,2507.214377,0.65522869,2666.871027
4,104,AYT Trial,25111,25111104,4,1,10,3920.130198,39937946.98,3920.130198,39937946.98,0.068368519,0.008996787,-0.030878627,0.000842128,0.27670967,0.023543382,0.11446292,0.10136116,0.933273807,0.062273808,59,1929.165597,0.873336631,2067.094976
5,105,AYT Trial,25111,25111105,5,1,10,4852.08497,54276747.32,4852.08497,54276747.32,0.090191458,0.009188031,-0.026284081,0.001288355,0.30446813,0.026882291,0.146082407,0.124742338,0.94198074,0.054653026,63,2572.666881,0.893427571,2731.124717
6,106,AYT Trial,25111,25111106,6,1,10,2843.614703,19437533.14,2843.614703,19437533.14,0.071526475,0.005413335,-0.026268315,0.001312313,0.260593131,0.012870042,0.063626681,0.059578327,0.943146407,0.053621262,48,1598.741977,0.862963986,1695.115376
7,107,AYT Trial,25111,25111107,7,1,10,3078.081411,33247212.72,3078.081411,33247212.72,0.083826089,0.005526025,-0.026677735,0.00160842,0.280822212,0.015883089,0.092593945,0.084020306,0.941301729,0.055252784,59,1100.044929,0.902525978,1168.642206
8,108,AYT Trial,25111,25111108,8,1,10,3965.455052,62353202.41,3965.455052,62353202.41,0.090750941,0.00529848,-0.026935347,0.000769085,0.296917226,0.021248439,0.129999522,0.113099646,0.894321389,0.094510642,64,1751.404044,0.807950822,1958.360903
9,109,AYT Trial,25111,25111109,9,1,10,2630.649485,32894377.91,2630.649485,32894377.91,0.088685699,0.006000528,-0.027021156,0.000634295,0.285836637,0.016629933,0.092424714,0.083882386,0.968952939,0.030083141,92,2836.107189,0.780556652,2926.981357
10,110,AYT Trial,25111,25111110,10,1,10,3965.087571,72572676,3965.087571,72572676,0.091703269,0.006492096,-0.026150972,0.000669168,0.307607045,0.023522844,0.135207865,0.116926698,0.903403655,0.087265491,67,1890.827985,0.820464983,2093.004577
11,201,AYT Trial,25111,25111201,14,2,10,2822.06009,9746082.114,2822.06009,9746082.114,0.035246088,0.009088455,-0.044973045,0.000664454,0.224186794,0.017570649,0.079701136,0.073348865,0.946110996,0.050984979,83,2873.01027,0.738107716,3036.652445
12,202,AYT Trial,25111,25111202,5,2,10,2482.242457,7680483.221,2482.242457,7680483.221,0.027306101,0.005906889,-0.045049368,0.00056085,0.212030484,0.011734199,0.051638982,0.048972397,0.951192968,0.046424906,76,2254.927792,0.590699232,2370.631269
13,203,AYT Trial,25111,25111203,7,2,10,2765.405119,9280919.202,2765.405119,9280919.202,0.055043039,0.008374652,-0.033521889,0.00070419,0.245245115,0.016850563,0.080002392,0.073602009,0.961539841,0.036980975,82,1622.796855,0.528290379,1687.706307
14,204,AYT Trial,25111,25111204,9,2,10,2489.727387,4192882.349,2489.727387,4192882.349,0.027428118,0.004494042,-0.041889922,0.000604458,0.213006694,0.007801973,0.033176659,0.032075968,0.954947736,0.043022557,85,2654.484917,0.533044705,2779.717482
15,205,AYT Trial,25111,25111205,3,2,10,2785.823759,7368335.32,2785.823759,7368335.32,0.042515662,0.005954921,-0.038183867,0.001219657,0.229870427,0.010876454,0.051706746,0.049033158,0.900688642,0.089448612,73,2797.62516,0.575402854,3106.095748
16,206,AYT Trial,25111,25111206,13,2,10,2513.290744,6707405.327,2513.290744,6707405.327,0.065068966,0.00736209,-0.027775003,0.001498955,0.250637806,0.012929979,0.063399232,0.05937977,0.940606611,0.055865814,55,1323.071245,0.926058359,1406.614869
17,207,AYT Trial,25111,25111207,14,1,10,2352.473941,5969953.985,2352.473941,5969953.985,0.072032442,0.006446756,-0.028286126,0.001611026,0.258648242,0.011585721,0.065060089,0.060827273,0.954518427,0.043413,79,2191.56611,0.616619643,2295.991412
18,208,AYT Trial,25111,25111208,13,1,10,2086.383684,8113010.177,2086.383684,8113010.177,0.056119153,0.004114192,-0.036046826,0.000528998,0.237922735,0.009007342,0.045937833,0.043827548,0.856305757,0.123046208,41,2785.418806,0.53164133,3252.832045
19,209,AYT Trial,25111,25111209,12,1,10,2174.605466,12419645.06,2174.605466,12419645.06,0.078875335,0.006811198,-0.030897766,0.000615774,0.270464744,0.01551435,0.085865877,0.078492928,0.962603331,0.035998158,63,2428.584724,0.863037362,2522.934053
20,210,AYT Trial,25111,25111210,11,1,10,2066.152865,11838700.25,2066.152865,11838700.25,0.073300229,0.00545182,-0.028822392,0.000599973,0.266860824,0.012456808,0.072730049,0.067440389,0.941894935,0.054728866,76,2134.146341,0.689922382,2265.800847
21,301,AYT Trial,25111,25111301,4,2,10,2861.381341,13653481.39,2861.381341,13653481.39,0.021222208,0.004274727,-0.04377623,0.000547883,0.208268341,0.010799766,0.049581203,0.047122908,0.938840478,0.057419035,60,1772.581836,0.744553414,1888.054336
22,302,AYT Trial,25111,25111302,2,2,10,3147.323941,26778191.26,3147.323941,26778191.26,0.027727939,0.007682961,-0.046854848,0.000628779,0.230029878,0.020520214,0.099050398,0.089239417,0.833843615,0.138548441,57,2060.911425,0.74304235,2471.580268
23,303,AYT Trial,25111,25111303,6,2,10,2778.481716,14460441.38,2778.481716,14460441.38,0.071121304,0.011301808,-0.031002142,0.000925873,0.26726649,0.023557143,0.119453291,0.105184202,0.908022901,0.083517312,79,1677.467908,0.662523545,1847.385022
24,304,AYT Trial,25111,25111304,8,2,10,2882.765459,12938870.64,2882.765459,12938870.64,0.05523305,0.011052165,-0.036539159,0.000887635,0.254341244,0.021804069,0.106063868,0.094814324,0.894191665,0.094612931,51,2638.87837,0.729922729,2951.132818
25,305,AYT Trial,25111,25111305,11,2,10,2580.187004,6372972.506,2580.187004,6372972.506,0.04818146,0.007299768,-0.036014129,0.001507706,0.238428357,0.012801786,0.061991675,0.058148708,0.923973111,0.070246801,65,2035.834403,0.593600861,2203.348106
26,306,AYT Trial,25111,25111306,10,2,10,2278.941395,4219688.17,2278.941395,4219688.17,0.053165274,0.005579237,-0.029906406,0.001421129,0.239463219,0.008962711,0.04360618,0.041704681,0.951414014,0.046225388,55,1864.188062,0.786376895,1959.386802
27,307,AYT Trial,25111,25111307,1,2,10,2705.311527,12203674.51,2705.311527,12203674.51,0.099350458,0.0121118,-0.021272858,0.002419125,0.29749799,0.022359391,0.122856307,0.107762635,0.941596003,0.05499297,69,2916.816431,0.806699294,3097.736632
28,308,AYT Trial,25111,25111308,12,2,10,2089.655143,12435935.04,2089.655143,12435935.04,0.073755411,0.005042482,-0.032325589,0.000571544,0.259067212,0.011903095,0.067313386,0.062782294,0.905336626,0.08570222,44,3189.656611,0.713763826,3523.171957
29,309,AYT Trial,25111,25111309,5,3,10,2349.513651,24730108.51,2349.513651,24730108.51,0.087194456,0.006972414,-0.030881416,0.000581565,0.279394258,0.018122083,0.09639923,0.087106418,0.836821585,0.13655122,34,3449.229782,0.943195818,4121.822195
31,401,AYT Trial,25111,25111401,1,3,10,3137.552107,20411003.97,3137.552107,20411003.97,0.04964027,0.005497497,-0.033585093,0.000700073,0.238620281,0.01533388,0.07748517,0.071481219,0.946132134,0.050966119,78,1960.516688,0.706431126,2072.138359
32,402,AYT Trial,25111,25111402,14,3,10,1970.872965,2424672.098,1970.872965,2424672.098,0.002688017,0.001587154,-0.04895829,0.000284437,0.184074731,0.002942086,0.010154652,0.010051535,0.673041731,0.220056559,35,2271.840501,0.398169966,3375.482375
33,403,AYT Trial,25111,25111403,9,3,10,3512.67864,27875223.33,3512.67864,27875223.33,0.064723178,0.006037256,-0.032246386,0.000836928,0.262716672,0.018393437,0.102123268,0.091694106,0.871590237,0.111920696,67,1551.322208,0.790204421,1779.875614
34,404,AYT Trial,25111,25111404,6,3,10,2598.172639,11236181.07,2598.172639,11236181.07,0.022609187,0.004121162,-0.044410024,0.000538828,0.216422552,0.010073949,0.045375176,0.04331627,0.903719651,0.087010444,47,2596.150513,0.644271139,2872.738809
35,405,AYT Trial,25111,25111405,13,3,10,2175.669401,4595921.42,2175.669401,4595921.42,0.015978017,0.002973809,-0.044152371,0.000842275,0.206110532,0.00562839,0.024465866,0.023867288,0.932977269,0.062530684,45,2056.237163,0.396051185,2203.952048
36,406,AYT Trial,25111,25111406,12,3,10,3156.504901,19613846.95,3156.504901,19613846.95,0.065833103,0.009941724,-0.029037782,0.002189019,0.270692213,0.019821199,0.103337434,0.092658809,0.921562661,0.072284923,75,1804.313222,0.834488689,1957.884469
37,407,AYT Trial,25111,25111407,11,3,10,1832.288166,3797538.305,1832.288166,3797538.305,0.034168639,0.003480784,-0.037828604,0.000936215,0.21934169,0.005032581,0.018867925,0.018511926,0.743042604,0.190930293,36,2259.040436,0.332404839,3040.256943
38,408,AYT Trial,25111,25111408,4,3,10,2622.497752,26449595.19,2622.497752,26449595.19,0.06262306,0.005070754,-0.03392551,0.000653305,0.261723954,0.014715505,0.081742729,0.075060855,0.931231612,0.064039297,54,2716.463415,0.911966988,2917.065293
39,410,AYT Trial,25111,25111410,7,3,10,1785.194299,13058489.66,1785.194299,13058489.66,0.06912403,0.00329673,-0.029695197,0.000580472,0.254815742,0.007825534,0.041605649,0.039874619,0.923231821,0.070874825,52,3008.472401,0.765828081,3258.631615
40,409,AYT Trial,25111,25111409,8,3,10,2781.217586,36993190.93,2781.217586,36993190.93,0.090143802,0.005436941,-0.025923469,0.000720602,0.290291587,0.017095735,0.107734443,0.096127733,0.953115656,0.044686202,64,2987.830552,0.970961453,3134.80377
41,501,AYT Trial,25111,25111501,10,3,10,2760.233053,11212269.4,2760.233053,11212269.4,0.073433021,0.007210264,-0.027954789,0.000794034,0.261482611,0.014882567,0.081838404,0.07514088,0.947962637,0.049329476,90,3019.951861,0.710924792,3185.728785
42,502,AYT Trial,25111,25111502,2,3,10,2891.952194,15299921.81,2891.952194,15299921.81,0.073203299,0.00789093,-0.032049434,0.000610285,0.268976304,0.019121258,0.101234332,0.090985942,0.942547568,0.05415165,88,3292.925225,0.779270174,3493.643542
51,601,AYT Trial,25112,25112601,1,1,10,2487.148433,9611491.35,2487.148433,9611491.35,0.062299181,0.003105411,-0.024099465,0.000569108,0.251238028,0.007218555,0.041042813,0.0393583,0.892181838,0.096193406,63,2181.591784,0.567256288,2445.23223
52,602,AYT Trial,25112,25112602,2,1,10,2408.667112,6765228.535,2408.667112,6765228.535,0.046281316,0.002385002,-0.033122625,0.000418186,0.236757796,0.006209139,0.032692505,0.031623705,0.896356744,0.092901332,64,2508.231707,0.556947711,2798.251617
53,603,AYT Trial,25112,25112603,3,1,10,3284.792738,14722317.91,3284.792738,14722317.91,0.073223031,0.007383871,-0.028458523,0.000877312,0.271327328,0.017279868,0.09741799,0.087927725,0.939579696,0.056769691,75,2318.13543,0.773733976,2467.204687
54,604,AYT Trial,25112,25112604,4,1,10,3328.537255,16213673.35,3328.537255,16213673.35,0.057284457,0.007333181,-0.036880033,0.000813012,0.260777832,0.017470104,0.094732668,0.08575839,0.92429389,0.069974695,64,634.4592426,0.838578774,686.4258756
55,605,AYT Trial,25112,25112605,3,2,10,2587.501063,9109392.358,2587.501063,9109392.358,0.05383538,0.006902482,-0.032114881,0.001656285,0.254256367,0.012564585,0.067915847,0.063303285,0.956409502,0.041690367,77,1653.120988,0.730012037,1728.465668
56,606,AYT Trial,25112,25112606,4,2,10,2959.087981,18423288.27,2959.087981,18423288.27,0.095498662,0.012232118,-0.022437653,0.0027433,0.307201268,0.022513025,0.138039627,0.118984689,0.942011679,0.054625676,116,258.9955071,0.835905512,274.9387431
57,607,AYT Trial,25112,25112607,1,2,10,2090.90083,13351150.54,2090.90083,13351150.54,0.049365844,0.004100612,-0.036279285,0.000580338,0.250493674,0.009715024,0.052404803,0.049658539,0.908540769,0.08309444,65,1494.531451,0.505467967,1644.980062
58,608,AYT Trial,25112,25112608,2,2,10,2288.530624,20014765.07,2288.530624,20014765.07,0.034198025,0.005678952,-0.043063351,0.000574161,0.248705127,0.014359902,0.073459113,0.068062872,0.922461576,0.071526217,65,1636.448973,0.63237323,1774.002317
59,609,AYT Trial,25112,25112609,4,3,10,1938.332687,12691646.7,1938.332687,12691646.7,0.063021159,0.007611321,-0.037461139,0.00059785,0.271004277,0.015838473,0.087313605,0.07968994,0.977913811,0.021598389,83,428.1643132,0.749964708,437.8344066
60,610,AYT Trial,25112,25112610,3,3,10,1779.52377,7596317.798,1779.52377,7596317.798,0.046642681,0.00489168,-0.035801824,0.000663148,0.24771214,0.009417398,0.047157495,0.044933666,0.955983385,0.042079153,85,2054.942234,0.577153331,2149.558524
69,709,AYT Trial,25112,25112709,2,3,10,1754.933744,6193279.236,1754.933744,6193279.236,0.061878373,0.005688238,-0.027566533,0.000478357,0.264857514,0.01093063,0.064413833,0.060264691,0.967824419,0.031140313,103,1822.087612,0.674124489,1882.6634
70,710,AYT Trial,25112,25112710,1,3,10,2316.202416,13581781.23,2316.202416,13581781.23,0.059900902,0.006707558,-0.026203973,0.000656904,0.267992287,0.014248296,0.080969018,0.074413036,0.965346028,0.033453074,74,1640.641849,0.558949618,1699.537576
71,801,AYT Trial,25113,25113801,1,1,10,2681.892683,19051464.92,2681.892683,19051464.92,0.064608802,0.005511397,-0.023467574,0.000771014,0.267042323,0.014217759,0.081321928,0.074708672,0.939224615,0.057081737,100,2262.755135,0.682670769,2409.173586
72,802,AYT Trial,25113,25113802,2,1,10,2219.813289,7797461.173,2219.813289,7797461.173,0.050840808,0.005789351,-0.029410708,0.000589162,0.243523795,0.012396264,0.057616593,0.054296921,0.919132076,0.074328303,67,1414.473684,0.681098402,1538.923209
73,803,AYT Trial,25113,25113803,3,1,10,3158.492163,17695590.33,3158.492163,17695590.33,0.074770484,0.005787649,-0.022711492,0.000860175,0.271537583,0.01501722,0.086522904,0.079036691,0.968401229,0.030600289,95,1660.990051,0.781465659,1715.187881
74,804,AYT Trial,25113,25113804,3,2,10,2949.442945,10218550.51,2949.442945,10218550.51,0.065574351,0.006197289,-0.03014134,0.002054771,0.25611915,0.0120943,0.064679963,0.060496466,0.968549228,0.03046162,85,1550.275995,0.784507255,1600.616623
75,805,AYT Trial,25113,25113805,2,2,10,3301.47733,18767077.4,3301.47733,18767077.4,0.092948768,0.007756831,-0.02040847,0.003004947,0.287723333,0.016170997,0.100837708,0.090669464,0.918055971,0.075229205,71,1315.781451,0.776943685,1433.225742
76,806,AYT Trial,25113,25113806,1,2,10,2494.44458,9216668.412,2494.44458,9216668.412,0.093576728,0.008441446,-0.022181134,0.002510532,0.280715018,0.014993052,0.083284029,0.0763478,0.931975529,0.063397142,86,1287.366816,0.810614166,1381.331136
77,807,AYT Trial,25113,25113807,1,3,10,2998.238997,22532987.65,2998.238997,22532987.65,0.072700449,0.004457971,-0.029333139,0.000555079,0.268431171,0.013054477,0.076911643,0.070996242,0.944128542,0.052749839,79,1015.134788,0.758234544,1075.208241
78,808,AYT Trial,25113,25113808,2,3,10,2257.943866,10565508.33,2257.943866,10565508.33,0.040791278,0.002901932,-0.037231831,0.000438908,0.238718658,0.007411549,0.039535523,0.037972466,0.899123279,0.090700608,59,1853.831836,0.557829394,2061.821642
79,809,AYT Trial,25113,25113809,3,3,10,2337.500516,15125318.54,2337.500516,15125318.54,0.055814526,0.005341453,-0.028098081,0.000579006,0.265196811,0.012596381,0.073634922,0.06821282,0.939590388,0.056760291,70,2012.426187,0.687530685,2141.812234
80,901,AYT Trial,25114,25114901,1,1,10,2675.692793,17633810.11,2675.692793,17633810.11,0.042057301,0.004915392,-0.029031036,0.000756116,0.242326956,0.012664081,0.065244953,0.060988049,0.957913747,0.040315001,87,799.5073813,0.584750628,834.6339993
81,902,AYT Trial,25114,25114902,2,1,10,2771.045377,18869788.66,2771.045377,18869788.66,0.037889456,0.004559735,-0.032243256,0.000583328,0.242476533,0.013602803,0.07077031,0.065761873,0.93355203,0.062032637,70,662.8369705,0.695828534,710.0160987
82,903,AYT Trial,25114,25114903,3,1,10,2479.388159,5799639.895,2479.388159,5799639.895,0.041220791,0.002522978,-0.029438688,0.00056478,0.228698089,0.00489026,0.022357984,0.021858105,0.827460089,0.14276989,65,1684.587612,0.489496041,2035.853613
83,904,AYT Trial,25114,25114904,3,2,10,2941.710383,9821668.864,2941.710383,9821668.864,0.070246056,0.004673313,-0.021877354,0.002017952,0.257729842,0.006555603,0.032249912,0.031209855,0.886874588,0.100328054,55,1847.676508,0.485446299,2083.357145
84,905,AYT Trial,25114,25114905,2,2,10,2871.597984,12866763.97,2871.597984,12866763.97,0.107348578,0.005892213,-0.007361845,0.00279649,0.292762884,0.008435076,0.050282558,0.047754223,0.909015014,0.082706718,60,830.7894737,0.577061392,913.944721
85,906,AYT Trial,25114,25114906,1,2,10,3408.000013,19184434.32,3408.000013,19184434.32,0.125958841,0.006533512,-0.011467043,0.002423044,0.315121553,0.012256664,0.088823836,0.080934162,0.957638916,0.040566623,103,861.6752246,0.66744298,899.7913621
86,907,AYT Trial,25114,25114907,1,3,10,3366.752314,22370763.17,3366.752314,22370763.17,0.114416801,0.006060648,-0.014678986,0.001013642,0.309692653,0.01517435,0.10081717,0.090653069,0.935780833,0.060095066,89,684.6052632,0.80336726,731.5871828
87,908,AYT Trial,25114,25114908,2,3,10,2870.592229,10224106.67,2870.592229,10224106.67,0.090803954,0.005998743,-0.021217893,0.000643177,0.287616135,0.012940865,0.075659731,0.069935337,0.923723155,0.070458688,70,766.5853659,0.700410314,829.8864889
88,909,AYT Trial,25114,25114909,3,3,10,2855.941172,13866816.31,2855.941172,13866816.31,0.129548578,0.007390596,-1.03734E-05,0.000802728,0.328369182,0.014933493,0.110980289,0.098663664,0.959150598,0.039180728,85,1461.787548,0.734019419,1524.043826
93,101,PYT Trial,25107,25107101,1,1,10,1432.996783,4291568.38,1432.996783,4291568.38,0.034834252,0.004238335,-0.050826302,0.000832239,0.224856918,0.006421423,0.023442733,0.022893171,0.926814974,0.067828978,71,1035.245507,0.390075587,1116.992642
94,102,PYT Trial,25107,25107102,2,1,10,1213.000574,2583685.715,1213.000574,2583685.715,0.038531979,0.002674985,-0.045329082,0.000558709,0.226023566,0.00381212,0.013048834,0.012878562,0.902107605,0.088309474,65,1326.286906,0.562654738,1470.209207
95,103,PYT Trial,25107,25107103,3,1,10,1309.001627,3644679.539,1309.001627,3644679.539,0.047569624,0.00275717,-0.038892888,0.000468845,0.241018341,0.004597824,0.020130375,0.019725143,0.897159261,0.092264522,80,2390.827985,0.456154619,2664.886926
96,104,PYT Trial,25107,25107104,4,1,10,1217.483531,2646653.406,1217.483531,2646653.406,0.056127619,0.002067454,-0.031362856,0.000534698,0.248959412,0.002970942,0.01270183,0.012540493,0.91473202,0.077997352,69,2488.189987,0.449241736,2720.129975
97,105,PYT Trial,25107,25107105,5,1,10,999.5834888,1672752.367,999.5834888,1672752.367,0.062619907,0.002676036,-0.026459621,0.000737388,0.254689085,0.002962415,0.011540853,0.011407662,0.884100614,0.102466719,64,2505.21181,0.496962159,2833.627498
98,106,PYT Trial,25107,25107106,6,1,10,1201.21368,2777635.842,1201.21368,2777635.842,0.090936381,0.003631123,-0.017164209,0.000971552,0.278489477,0.004679964,0.024342121,0.023749582,0.913286612,0.079194177,68,2315.911425,0.399031594,2535.799162
99,107,PYT Trial,25107,25107107,7,1,10,1511.41238,2143528.979,1511.41238,2143528.979,0.07902707,0.003245832,-0.021797247,0.000736827,0.275596862,0.00418152,0.017573038,0.017264227,0.914055852,0.078557751,66,2008.035944,0.460023982,2196.841625
100,108,PYT Trial,25107,25107108,4,2,10,1904.467657,2589810.089,1904.467657,2589810.089,0.070461215,0.002667133,-0.023529078,0.000573702,0.274527103,0.003394394,0.015728912,0.015481514,0.925193743,0.069210281,58,2547.597882,0.503438378,2753.58313
101,109,PYT Trial,25107,25107109,2,2,10,1928.974802,3203697.153,1928.974802,3203697.153,0.070399632,0.003535814,-0.024713475,0.000858216,0.269082162,0.004107948,0.020653448,0.020226883,0.898609135,0.091110758,67,1584.210526,0.399933026,1762.958405
102,110,PYT Trial,25107,25107110,1,2,10,1932.698043,3184482.61,1932.698043,3184482.61,0.055397334,0.003114751,-0.035128651,0.000786877,0.255440609,0.00424303,0.020306633,0.019894273,0.894430292,0.094424745,61,1585.044929,0.549677666,1772.127961
