fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_sum,_mean
141,155,583073.9654,5031613.407,583076.2054,5031608.407,6,19,619,1122,797,0.710338681
156,155,583073.9654,5031613.407,583076.2054,5031608.407,6,20,620,1118,1081,0.966905188
171,155,583073.9654,5031613.407,583076.2054,5031608.407,6,21,621,1123,994,0.885129118
9,14,583058.2854,5031618.407,583060.5254,5031613.407,7,4,704,1118,932,0.833631485
24,34,583060.5254,5031618.407,583062.7654,5031613.407,7,5,705,1122,865,0.770944742
39,54,583062.7654,5031618.407,583065.0054,5031613.407,7,6,706,1119,1068,0.954423592
54,74,583065.0054,5031618.407,583067.2454,5031613.407,7,7,707,1122,834,0.743315508
69,94,583067.2454,5031618.407,583069.4854,5031613.407,7,8,708,1118,991,0.886404293
84,114,583069.4854,5031618.407,583071.7254,5031613.407,7,9,709,1120,1023,0.913392857
99,134,583071.7254,5031618.407,583073.9654,5031613.407,7,13,713,1122,1065,0.949197861
114,154,583073.9654,5031618.407,583076.2054,5031613.407,7,14,714,1120,785,0.700892857
125,154,583073.9654,5031618.407,583076.2054,5031613.407,7,15,715,1117,742,0.66427932
140,154,583073.9654,5031618.407,583076.2054,5031613.407,7,19,719,1119,1053,0.941018767
155,154,583073.9654,5031618.407,583076.2054,5031613.407,7,20,720,1118,1022,0.914132379
170,154,583073.9654,5031618.407,583076.2054,5031613.407,7,21,721,1121,1070,0.954504906
8,13,583058.2854,5031623.407,583060.5254,5031618.407,8,4,804,1120,1108,0.989285714
23,33,583060.5254,5031623.407,583062.7654,5031618.407,8,5,805,1118,576,0.515205725
38,53,583062.7654,5031623.407,583065.0054,5031618.407,8,6,806,1119,978,0.873994638
53,73,583065.0054,5031623.407,583067.2454,5031618.407,8,7,807,1122,972,0.86631016
68,93,583067.2454,5031623.407,583069.4854,5031618.407,8,8,808,1119,991,0.885612154
83,113,583069.4854,5031623.407,583071.7254,5031618.407,8,9,809,1119,1090,0.974084004
98,133,583071.7254,5031623.407,583073.9654,5031618.407,8,13,813,1123,1026,0.913624221
113,153,583073.9654,5031623.407,583076.2054,5031618.407,8,14,814,1121,992,0.884924175
124,153,583073.9654,5031623.407,583076.2054,5031618.407,8,15,815,1120,1056,0.942857143
139,153,583073.9654,5031623.407,583076.2054,5031618.407,8,19,819,1118,1026,0.917710197
154,153,583073.9654,5031623.407,583076.2054,5031618.407,8,20,820,1119,970,0.866845398
169,153,583073.9654,5031623.407,583076.2054,5031618.407,8,21,821,1122,1066,0.950089127
7,12,583058.2854,5031628.407,583060.5254,5031623.407,9,4,904,1123,1068,0.951024043
22,32,583060.5254,5031628.407,583062.7654,5031623.407,9,5,905,1118,1051,0.940071556
37,52,583062.7654,5031628.407,583065.0054,5031623.407,9,6,906,1122,1096,0.976827094
52,72,583065.0054,5031628.407,583067.2454,5031623.407,9,7,907,1118,770,0.688729875
67,92,583067.2454,5031628.407,583069.4854,5031623.407,9,8,908,1121,929,0.828724353
82,112,583069.4854,5031628.407,583071.7254,5031623.407,9,9,909,1120,1062,0.948214286
97,132,583071.7254,5031628.407,583073.9654,5031623.407,9,13,913,1118,845,0.755813953
112,152,583073.9654,5031628.407,583076.2054,5031623.407,9,14,914,1120,995,0.888392857
123,152,583073.9654,5031628.407,583076.2054,5031623.407,9,15,915,1122,1086,0.967914439
138,152,583073.9654,5031628.407,583076.2054,5031623.407,9,19,919,1118,1034,0.924865832
153,152,583073.9654,5031628.407,583076.2054,5031623.407,9,20,920,1122,972,0.86631016
168,152,583073.9654,5031628.407,583076.2054,5031623.407,9,21,921,1118,1001,0.895348837
6,11,583058.2854,5031633.407,583060.5254,5031628.407,10,4,1004,1118,719,0.643112701
21,31,583060.5254,5031633.407,583062.7654,5031628.407,10,5,1005,1121,1063,0.948260482
