Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,Identity1,Description1,Name1 (Row Spacing),Name2 (Planting Density),Name3 (variety),Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Common Bacterial Blight,Lodging,Height,Desirability score,White Mold,anthracnose,Flowering Date,Maturity Date,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,167E0CFA3F,1,,LODS,29,2002,,,"30""",150000,Cayenne,2,2,,,,,,,,,,,2024-07-20,2024-08-30,,0,29,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EB5B01FFF,1,,LODS,30,1002,,,"30""",150000,ETNA,1,2,47,19.2,1967,2550,,,,,,,2024-07-17,2024-08-20,,0,30,,,,,,,,,,,,,,,,,,,,,,,
24101-n,114965A262,1,,LODS,31,1003,,,"30""",75000,Red Rover,1,3,,,,,,,,,,,2024-07-16,2024-08-21,,0,31,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13EFA08461,1,,LODS,32,2003,,,"30""",75000,T9905,2,3,38,21,1637,2075,,,,,,,2024-07-24,2024-08-30,,0,32,,,,,,,,,,,,,,,,,,,,,,,
24101-n,15158A5F69,1,,LODS,33,3003,,,"30""",75000,black bear,3,3,26,21.7,1836,2307,,,,,,,2024-07-23,2024-08-31,,0,33,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1D59F1C964,1,,LODS,34,4003,,,"30""",75000,Zorro,4,3,28,19.6,1320,1703,,,,,,,2024-07-23,2024-08-26,,0,34,,,,,,,,,,,,,,,,,,,,,,,
24101-n,142BD536E6,1,,LODS,35,5003,,,"30""",75000,Ronnies red,5,3,70,22,693,867,,,,,,,2024-07-22,,,0,35,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1DBB1A7FEC,1,,LODS,36,6003,,,"30""",75000,ETNA,6,3,58,23,828,1023,,,,,,,2024-07-19,2024-08-21,,0,36,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CB9084CD5,1,,LODS,37,7003,,,"30""",75000,Red Dawn,7,3,65,20.6,553,705,,,,,,,2024-07-16,2024-08-20,,0,37,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13519E0F5D,1,,LODS,38,8003,,,"30""",75000,CLERK,8,3,67,23,722,892,,,,,,,2024-07-23,,,0,38,,,,,,,,,,,,,,,,,,,,,,,
