fid,id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"162","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7",1124,1070,0.951957295373665
"163","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7",1118,1082,0.967799642218247
"164","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7",1119,1039,0.928507596067918
"165","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7",1123,1035,0.921638468388246
"166","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7",1119,1049,0.937444146559428
"167","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7",1118,1038,0.928443649373882
"168","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7",1118,1001,0.895348837209302
"169","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7",1122,1066,0.950089126559715
"170","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7",1121,1070,0.954504906333631
"171","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7",1123,994,0.885129118432769
"172","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7",1123,953,0.848619768477293
"173","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7",1119,1085,0.969615728328865
"174","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7",1118,1072,0.958855098389982
"175","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7",1118,1050,0.9391771019678
"176","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7",1100,262,0.238181818181818
"177","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7",1118,686,0.613595706618962
"178","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7",1121,1014,0.904549509366637
"179","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7",1122,1024,0.912655971479501
"180","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7",1119,1069,0.955317247542449
