fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_mean
"64","89",583067.2454,5031643.4071,583069.4854,5031638.4071,"8","4","12008",653,1
"65","90",583067.2454,5031638.4071,583069.4854,5031633.4071,"9","4","11008",926,1
"66","91",583067.2454,5031633.4071,583069.4854,5031628.4071,"10","4","10008",972,1
"67","92",583067.2454,5031628.4071,583069.4854,5031623.4071,"11","4","9008",929,1
"68","93",583067.2454,5031623.4071,583069.4854,5031618.4071,"12","4","8008",991,1
"69","94",583067.2454,5031618.4071,583069.4854,5031613.4071,"13","4","7008",991,1
"70","95",583067.2454,5031613.4071,583069.4854,5031608.4071,"14","4","6008",894,1
"71","96",583067.2454,5031608.4071,583069.4854,5031603.4071,"15","4","5008",960,1
"72","97",583067.2454,5031603.4071,583069.4854,5031598.4071,"16","4","4008",947,1
"73","98",583067.2454,5031598.4071,583069.4854,5031593.4071,"17","4","3008",964,1
"74","99",583067.2454,5031593.4071,583069.4854,5031588.4071,"18","4","2008",773,1
"75","100",583067.2454,5031588.4071,583069.4854,5031583.4071,"19","4","1008",1039,1
"76","106",583069.4854,5031658.4071,583071.7254,5031653.4071,"5","5","15009",1096,1
"77","107",583069.4854,5031653.4071,583071.7254,5031648.4071,"6","5","14009",1111,1
"78","108",583069.4854,5031648.4071,583071.7254,5031643.4071,"7","5","13009",779,1
"79","109",583069.4854,5031643.4071,583071.7254,5031638.4071,"8","5","12009",950,1
"80","110",583069.4854,5031638.4071,583071.7254,5031633.4071,"9","5","11009",918,1
"81","111",583069.4854,5031633.4071,583071.7254,5031628.4071,"10","5","10009",975,1
"82","112",583069.4854,5031628.4071,583071.7254,5031623.4071,"11","5","9009",1062,1
"83","113",583069.4854,5031623.4071,583071.7254,5031618.4071,"12","5","8009",1090,1
"84","114",583069.4854,5031618.4071,583071.7254,5031613.4071,"13","5","7009",1023,1
"85","115",583069.4854,5031613.4071,583071.7254,5031608.4071,"14","5","6009",985,1
"86","116",583069.4854,5031608.4071,583071.7254,5031603.4071,"15","5","5009",1035,1
"87","117",583069.4854,5031603.4071,583071.7254,5031598.4071,"16","5","4009",1047,1
"88","118",583069.4854,5031598.4071,583071.7254,5031593.4071,"17","5","3009",1094,1
"89","119",583069.4854,5031593.4071,583071.7254,5031588.4071,"18","5","2009",988,1
"90","120",583069.4854,5031588.4071,583071.7254,5031583.4071,"19","5","1009",1007,1
"91","126",583071.7254,5031658.4071,583073.9654,5031653.4071,"5","6","15013",1010,1
"92","127",583071.7254,5031653.4071,583073.9654,5031648.4071,"6","6","14013",748,1
"93","128",583071.7254,5031648.4071,583073.9654,5031643.4071,"7","6","13013",806,1
"94","129",583071.7254,5031643.4071,583073.9654,5031638.4071,"8","6","12013",925,1
"95","130",583071.7254,5031638.4071,583073.9654,5031633.4071,"9","6","11013",1020,1
"96","131",583071.7254,5031633.4071,583073.9654,5031628.4071,"10","6","10013",1066,1
