fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_sum,_mean
"28","38",583060.5254,5031598.4071,583062.7654,5031593.4071,"17","1","3005",1119,1082,0.966934763181412
"29","39",583060.5254,5031593.4071,583062.7654,5031588.4071,"18","1","2005",1119,769,0.68722073279714
"30","40",583060.5254,5031588.4071,583062.7654,5031583.4071,"19","1","1005",1119,915,0.81769436997319
"31","46",583062.7654,5031658.4071,583065.0054,5031653.4071,"5","2","15006",1121,910,0.811775200713649
"32","47",583062.7654,5031653.4071,583065.0054,5031648.4071,"6","2","14006",1122,1082,0.964349376114082
"33","48",583062.7654,5031648.4071,583065.0054,5031643.4071,"7","2","13006",1118,824,0.737030411449016
"34","49",583062.7654,5031643.4071,583065.0054,5031638.4071,"8","2","12006",1120,1094,0.976785714285714
"35","50",583062.7654,5031638.4071,583065.0054,5031633.4071,"9","2","11006",1120,1111,0.991964285714286
"36","51",583062.7654,5031633.4071,583065.0054,5031628.4071,"10","2","10006",1122,1091,0.972370766488414
"37","52",583062.7654,5031628.4071,583065.0054,5031623.4071,"11","2","9006",1122,1096,0.976827094474153
"38","53",583062.7654,5031623.4071,583065.0054,5031618.4071,"12","2","8006",1119,978,0.873994638069705
"39","54",583062.7654,5031618.4071,583065.0054,5031613.4071,"13","2","7006",1119,1068,0.954423592493298
"40","55",583062.7654,5031613.4071,583065.0054,5031608.4071,"14","2","6006",1118,1049,0.938282647584973
"41","56",583062.7654,5031608.4071,583065.0054,5031603.4071,"15","2","5006",1118,734,0.656529516994633
"42","57",583062.7654,5031603.4071,583065.0054,5031598.4071,"16","2","4006",1122,1100,0.980392156862745
"43","58",583062.7654,5031598.4071,583065.0054,5031593.4071,"17","2","3006",1121,1024,0.913470115967886
"44","59",583062.7654,5031593.4071,583065.0054,5031588.4071,"18","2","2006",1122,1057,0.942067736185383
"45","60",583062.7654,5031588.4071,583065.0054,5031583.4071,"19","2","1006",1123,1013,0.902048085485307
"46","66",583065.0054,5031658.4071,583067.2454,5031653.4071,"5","3","15007",1124,932,0.829181494661922
"47","67",583065.0054,5031653.4071,583067.2454,5031648.4071,"6","3","14007",1119,749,0.66934763181412
"48","68",583065.0054,5031648.4071,583067.2454,5031643.4071,"7","3","13007",1123,731,0.65093499554764
"49","69",583065.0054,5031643.4071,583067.2454,5031638.4071,"8","3","12007",1122,917,0.81729055258467
"50","70",583065.0054,5031638.4071,583067.2454,5031633.4071,"9","3","11007",1117,947,0.847806624888093
"51","71",583065.0054,5031633.4071,583067.2454,5031628.4071,"10","3","10007",1119,889,0.794459338695264
"52","72",583065.0054,5031628.4071,583067.2454,5031623.4071,"11","3","9007",1118,770,0.688729874776386
"53","73",583065.0054,5031623.4071,583067.2454,5031618.4071,"12","3","8007",1122,972,0.866310160427808
"54","74",583065.0054,5031618.4071,583067.2454,5031613.4071,"13","3","7007",1122,834,0.74331550802139
"55","75",583065.0054,5031613.4071,583067.2454,5031608.4071,"14","3","6007",1120,642,0.573214285714286
"56","76",583065.0054,5031608.4071,583067.2454,5031603.4071,"15","3","5007",1122,879,0.783422459893048
"57","77",583065.0054,5031603.4071,583067.2454,5031598.4071,"16","3","4007",1119,853,0.762287756925827
"58","78",583065.0054,5031598.4071,583067.2454,5031593.4071,"17","3","3007",1120,908,0.810714285714286
"59","79",583065.0054,5031593.4071,583067.2454,5031588.4071,"18","3","2007",1118,828,0.740608228980322
"60","80",583065.0054,5031588.4071,583067.2454,5031583.4071,"19","3","1007",1119,860,0.768543342269884
"61","86",583067.2454,5031658.4071,583069.4854,5031653.4071,"5","4","15008",1118,967,0.864937388193202
"62","87",583067.2454,5031653.4071,583069.4854,5031648.4071,"6","4","14008",1122,932,0.83065953654189
"63","88",583067.2454,5031648.4071,583069.4854,5031643.4071,"7","4","13008",1120,958,0.855357142857143
"64","89",583067.2454,5031643.4071,583069.4854,5031638.4071,"8","4","12008",1119,653,0.583556747095621
"65","90",583067.2454,5031638.4071,583069.4854,5031633.4071,"9","4","11008",1122,926,0.825311942959002
"66","91",583067.2454,5031633.4071,583069.4854,5031628.4071,"10","4","10008",1118,972,0.869409660107335
"67","92",583067.2454,5031628.4071,583069.4854,5031623.4071,"11","4","9008",1121,929,0.828724353256021
"68","93",583067.2454,5031623.4071,583069.4854,5031618.4071,"12","4","8008",1119,991,0.885612153708668
"69","94",583067.2454,5031618.4071,583069.4854,5031613.4071,"13","4","7008",1118,991,0.886404293381038
"70","95",583067.2454,5031613.4071,583069.4854,5031608.4071,"14","4","6008",1120,894,0.798214285714286
"71","96",583067.2454,5031608.4071,583069.4854,5031603.4071,"15","4","5008",1119,960,0.857908847184987
"72","97",583067.2454,5031603.4071,583069.4854,5031598.4071,"16","4","4008",1124,947,0.842526690391459
"73","98",583067.2454,5031598.4071,583069.4854,5031593.4071,"17","4","3008",1123,964,0.858414959928762
"74","99",583067.2454,5031593.4071,583069.4854,5031588.4071,"18","4","2008",1119,773,0.690795352993744
"75","100",583067.2454,5031588.4071,583069.4854,5031583.4071,"19","4","1008",1121,1039,0.926851025869759
"76","106",583069.4854,5031658.4071,583071.7254,5031653.4071,"5","5","15009",1120,1096,0.978571428571429
"77","107",583069.4854,5031653.4071,583071.7254,5031648.4071,"6","5","14009",1119,1111,0.992850759606792
"78","108",583069.4854,5031648.4071,583071.7254,5031643.4071,"7","5","13009",1118,779,0.696779964221825
"79","109",583069.4854,5031643.4071,583071.7254,5031638.4071,"8","5","12009",1121,950,0.847457627118644
"80","110",583069.4854,5031638.4071,583071.7254,5031633.4071,"9","5","11009",1120,918,0.819642857142857
"81","111",583069.4854,5031633.4071,583071.7254,5031628.4071,"10","5","10009",1122,975,0.868983957219251
"82","112",583069.4854,5031628.4071,583071.7254,5031623.4071,"11","5","9009",1120,1062,0.948214285714286
"83","113",583069.4854,5031623.4071,583071.7254,5031618.4071,"12","5","8009",1119,1090,0.97408400357462
"84","114",583069.4854,5031618.4071,583071.7254,5031613.4071,"13","5","7009",1120,1023,0.913392857142857
"85","115",583069.4854,5031613.4071,583071.7254,5031608.4071,"14","5","6009",1121,985,0.878679750223015
"86","116",583069.4854,5031608.4071,583071.7254,5031603.4071,"15","5","5009",1118,1035,0.925760286225403
"87","117",583069.4854,5031603.4071,583071.7254,5031598.4071,"16","5","4009",1120,1047,0.934821428571429
"88","118",583069.4854,5031598.4071,583071.7254,5031593.4071,"17","5","3009",1118,1094,0.978533094812165
"89","119",583069.4854,5031593.4071,583071.7254,5031588.4071,"18","5","2009",1122,988,0.880570409982175
"90","120",583069.4854,5031588.4071,583071.7254,5031583.4071,"19","5","1009",1121,1007,0.898305084745763
"91","126",583071.7254,5031658.4071,583073.9654,5031653.4071,"5","6","15013",1123,1010,0.899376669634906
"92","127",583071.7254,5031653.4071,583073.9654,5031648.4071,"6","6","14013",1118,748,0.669051878354204
"93","128",583071.7254,5031648.4071,583073.9654,5031643.4071,"7","6","13013",1121,806,0.71900089206066
"94","129",583071.7254,5031643.4071,583073.9654,5031638.4071,"8","6","12013",1121,925,0.825156110615522
"95","130",583071.7254,5031638.4071,583073.9654,5031633.4071,"9","6","11013",1117,1020,0.913160250671441
"96","131",583071.7254,5031633.4071,583073.9654,5031628.4071,"10","6","10013",1119,1066,0.952636282394996
"97","132",583071.7254,5031628.4071,583073.9654,5031623.4071,"11","6","9013",1118,845,0.755813953488372
"98","133",583071.7254,5031623.4071,583073.9654,5031618.4071,"12","6","8013",1123,1026,0.913624220837044
"99","134",583071.7254,5031618.4071,583073.9654,5031613.4071,"13","6","7013",1122,1065,0.949197860962567
"100","135",583071.7254,5031613.4071,583073.9654,5031608.4071,"14","6","6013",1120,1003,0.895535714285714
"101","136",583071.7254,5031608.4071,583073.9654,5031603.4071,"15","6","5013",1122,1088,0.96969696969697
"102","137",583071.7254,5031603.4071,583073.9654,5031598.4071,"16","6","4013",1120,724,0.646428571428571
"103","138",583071.7254,5031598.4071,583073.9654,5031593.4071,"17","6","3013",1121,1004,0.895628902765388
"104","139",583071.7254,5031593.4071,583073.9654,5031588.4071,"18","6","2013",1118,951,0.850626118067978
"105","140",583071.7254,5031588.4071,583073.9654,5031583.4071,"19","6","1013",1118,1101,0.98479427549195
"106","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15014",1122,1081,0.963458110516934
"107","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14014",1119,1001,0.894548704200179
"108","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13014",1122,918,0.818181818181818
"109","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12014",1120,895,0.799107142857143
"110","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11014",1119,963,0.86058981233244
"111","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10014",1118,953,0.852415026833631
"112","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9014",1120,995,0.888392857142857
"113","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8014",1121,992,0.884924174843889
"114","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7014",1120,785,0.700892857142857
"115","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6014",1120,1015,0.90625
"116","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5014",1121,777,0.693131132917038
"117","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4014",1118,825,0.737924865831843
"118","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3014",1119,895,0.79982126899017
"119","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2014",1120,938,0.8375
"120","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1014",1118,1067,0.95438282647585
"121","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10015",1121,1055,0.941123996431757
"122","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1015",1122,1080,0.962566844919786
"123","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9015",1122,1086,0.967914438502674
"124","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8015",1120,1056,0.942857142857143
"125","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7015",1117,742,0.664279319606088
"126","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6015",1120,573,0.511607142857143
"127","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5015",1119,946,0.845397676496872
"128","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4015",1123,1068,0.951024042742654
"129","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3015",1121,1071,0.955396966993756
"130","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2015",1123,886,0.788958147818344
"131","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15015",1118,796,0.711985688729875
"132","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14015",1122,1065,0.949197860962567
"133","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13015",1118,1069,0.956171735241503
"134","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12015",1118,1049,0.938282647584973
"135","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11015",1122,1076,0.959001782531194
"136","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10019",1121,762,0.679750223015165
"137","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1019",1122,993,0.885026737967914
"138","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9019",1118,1034,0.924865831842576
"139","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8019",1118,1026,0.917710196779964
"140","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7019",1119,1053,0.941018766756032
"141","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6019",1122,797,0.710338680926916
"142","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5019",1120,1010,0.901785714285714
"143","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4019",1119,946,0.845397676496872
"144","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3019",1119,909,0.812332439678284
"145","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2019",1121,1006,0.897413024085638
"146","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15019",1119,490,0.437890974084004
"147","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14019",1118,1018,0.910554561717352
"148","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13019",1120,860,0.767857142857143
"149","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12019",1120,1070,0.955357142857143
"150","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11019",1118,899,0.804114490161002
"151","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10020",1121,937,0.835860838537021
"152","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1020",1122,1037,0.924242424242424
"153","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9020",1122,972,0.866310160427808
"154","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8020",1119,970,0.866845397676497
"155","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7020",1118,1022,0.914132379248658
"156","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6020",1118,1081,0.96690518783542
"157","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5020",1117,1046,0.936436884512086
"158","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4020",1122,1100,0.980392156862745
"159","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3020",1122,1031,0.918894830659537
"160","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2020",1123,952,0.847729296527159
"161","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15020",1118,994,0.889087656529517
"162","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14020",1124,1070,0.951957295373665
"163","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13020",1118,1082,0.967799642218247
"164","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12020",1119,1039,0.928507596067918
"165","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11020",1123,1035,0.921638468388246
"166","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7","10021",1119,1049,0.937444146559428
"167","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7","1021",1118,1038,0.928443649373882
"168","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7","9021",1118,1001,0.895348837209302
"169","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7","8021",1122,1066,0.950089126559715
"170","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7","7021",1121,1070,0.954504906333631
"171","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7","6021",1123,994,0.885129118432769
"172","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7","5021",1123,953,0.848619768477293
"173","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7","4021",1119,1085,0.969615728328865
"174","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7","3021",1118,1072,0.958855098389982
"175","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7","2021",1118,1050,0.9391771019678
"176","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7","15021",1109,339,0.305680793507665
"177","147",583073.9654,5031653.4071,583076.2054,5031648.4071,"6","7","14021",1117,769,0.688451208594449
"178","148",583073.9654,5031648.4071,583076.2054,5031643.4071,"7","7","13021",1121,1014,0.904549509366637
"179","149",583073.9654,5031643.4071,583076.2054,5031638.4071,"8","7","12021",1122,1024,0.912655971479501
"180","150",583073.9654,5031638.4071,583076.2054,5031633.4071,"9","7","11021",1119,1069,0.955317247542449
