distance,Trial,MasonPlot#,Combocode
0.112678805,2506,101,25060101
0.17031305,2506,101,25060101
0.112678805,2506,101,25060101
0.231331975,2506,101,25060101
0.194452264,2506,101,25060101
0.162955195,2506,101,25060101
0.070693931,2506,101,25060101
0.070693931,2506,101,25060101
0.16064716,2506,101,25060101
0.185558808,2506,101,25060101
0.113260402,2506,101,25060101
0.088240041,2506,101,25060101
0.113260402,2506,101,25060101
0.088240041,2506,101,25060101
0.107352813,2506,101,25060101
0.114268162,2506,101,25060101
0.074573981,2506,101,25060101
0.121003455,2506,101,25060101
0.074573981,2506,101,25060101
0.175208885,2506,101,25060101
0.113315544,2506,101,25060101
0.2599666,2506,101,25060101
0.094991274,2506,101,25060101
0.137774443,2506,101,25060101
0.2599666,2506,101,25060101
0.145609689,2506,101,25060101
0.094991274,2506,101,25060101
0.06681304,2506,101,25060101
0.088866674,2506,101,25060101
0.088866674,2506,101,25060101
0.165133506,2506,101,25060101
0.12073912,2506,101,25060101
0.191247405,2506,101,25060101
0.135019462,2506,101,25060101
0.135019462,2506,101,25060101
0.087770615,2506,101,25060101
0.164260621,2506,101,25060101
0.231791917,2506,101,25060101
0.164260621,2506,101,25060101
0.091948147,2506,101,25060101
0.087770615,2506,101,25060101
0.090473759,2506,101,25060101
0.090473759,2506,101,25060101
0.147263614,2506,101,25060101
0.053600868,2506,101,25060101
0.053600868,2506,101,25060101
0.091948147,2506,101,25060101
0.13142438,2506,101,25060101
0.082000617,2506,101,25060101
0.110753108,2506,101,25060101
0.155501296,2506,101,25060101
0.082000617,2506,101,25060101
0.076267054,2506,101,25060101
0.088069172,2506,101,25060101
0.141220284,2506,101,25060101
0.145306719,2506,101,25060101
0.076267054,2506,101,25060101
0.088069172,2506,101,25060101
0.140689547,2506,101,25060101
0.140689547,2506,101,25060101
0.099384807,2506,101,25060101
0.172688868,2506,101,25060101
0.099384807,2506,101,25060101
0.189422853,2506,101,25060101
0.115744652,2506,101,25060101
0.101942691,2506,101,25060101
0.115744652,2506,101,25060101
0.06603129,2506,102,25060102
0.090385634,2506,102,25060102
0.085224394,2506,102,25060102
0.139328811,2506,102,25060102
0.107468623,2506,102,25060102
0.06603129,2506,102,25060102
0.165090779,2506,102,25060102
0.073643354,2506,102,25060102
0.073643354,2506,102,25060102
0.094649714,2506,102,25060102
0.090968882,2506,102,25060102
