fid,id,Trial,Row,Column,Combocode,VarietyName,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA_Mean,PLTCount,Yield,HACorrectedYield,HACorrected85Yield,Perplantyield,PeakStand
93,4003,2501,19,3,25011903,N24847,1903,6/12/2025,13,5.400679396,36.39469806,764.3796622,1303422.164,0.186848722,0.00319499,0.044686764,0.001483807,-0.031492114,0.000253262,0.051338246,0.048702631,0.98691381,86,3130.767957,3172.28103,2696.438875,36.40427857,0.639290102
94,4004,2501,19,4,25011904,N22005,1904,6/12/2025,13,6.556386446,46.7350557,698.2119979,1588969.157,0.191556842,0.003869547,0.047498014,0.001766536,-0.028129051,0.000246722,0.061933328,0.058097591,0.985273211,83,1906.704916,1935.204261,1644.923622,22.97234839,0.595708131
95,4005,2501,19,5,25011905,N23717,1905,6/12/2025,13,5.824278787,24.53710649,893.1163421,876034.1972,0.183260079,0.002323853,0.044680987,0.00129606,-0.027346739,0.000256782,0.039971508,0.038373786,0.981792334,81,3020.713583,3076.733722,2615.223664,37.29276028,0.545174482
96,4006,2501,20,1,25012001,N24834,2001,6/12/2025,13,4.332338118,33.05058457,1192.867267,1536242.38,0.181117019,0.002827192,0.051183782,0.001635566,-0.03434854,0.000553935,0.045688616,0.043601167,0.979696357,84,3217.70314,3284.388186,2791.729958,38.30598976,0.619777045
97,4007,2501,20,2,25012002,N24851,2002,6/12/2025,13,5.073888387,42.57597663,1030.057708,1575297.937,0.186719598,0.003237869,0.052620909,0.001572322,-0.035418232,0.000434792,0.056847758,0.05361609,0.976816243,80,2341.175341,2396.740797,2037.229677,29.26469176,0.63293245
98,4008,2501,20,3,25012003,N22616,2003,6/12/2025,13,5.960165475,70.39286816,913.8511929,1930356.381,0.200157576,0.004175595,0.063331121,0.001903607,-0.030311734,0.000364333,0.069532342,0.064697595,0.980443262,71,3459.584646,3528.592404,2999.303543,48.72654431,0.791831609
99,4009,2501,20,4,25012004,N22605,2004,6/12/2025,13,8.269322447,132.0670309,731.6538155,2644848.469,0.205321766,0.005222845,0.062809533,0.001992283,-0.029585512,0.000356715,0.08444067,0.077310443,0.97411829,65,2882.803534,2959.397809,2515.488137,44.3508236,0.731222386
100,4010,2501,20,5,25012005,N24826,2005,6/12/2025,13,6.210892554,37.54321816,985.1770535,1100640.295,0.193163492,0.002856039,0.057383021,0.001541584,-0.027818938,0.000282092,0.050079448,0.047571497,0.97475622,79,2390.812344,2452.728483,2084.81921,30.26344739,0.783667896
101,4011,2501,21,1,25012101,N22602,2101,6/12/2025,13,6.079160732,61.31705997,960.2124742,1765769.53,0.187787682,0.004303617,0.051652726,0.001848588,-0.031856233,0.000299708,0.069984661,0.065086808,0.961341475,69,2888.931582,3005.104491,2554.338817,41.86857366,0.756888877
102,4012,2501,21,2,25012102,N21510,2102,6/12/2025,13,4.883996822,25.3207168,1110.703323,904539.573,0.177094607,0.001925342,0.045462769,0.001037694,-0.035317132,0.000269211,0.032795419,0.03171988,0.966588896,77,2796.343384,2893.001767,2459.051502,36.31614784,0.583601374
103,4013,2501,21,3,25012103,N24828,2103,6/12/2025,13,6.421662648,45.02477076,1003.731423,1138229.539,0.190164914,0.002927194,0.05540413,0.001499397,-0.032562406,0.000501228,0.052361903,0.049620134,0.97668696,81,2305.023238,2360.043015,2006.036563,28.45707701,0.680338613
104,4014,2501,21,4,25012104,N24811,2104,6/12/2025,13,6.583883788,43.27357883,1036.220726,1178719.325,0.190729697,0.002630367,0.056515736,0.001478887,-0.030873476,0.00051973,0.047060436,0.044845751,0.971638962,70,2102.902295,2164.283626,1839.641082,30.04146136,0.536623986
105,4015,2501,21,5,25012105,N22622,2105,6/12/2025,13,7.301923498,60.63596298,961.2945256,1221479.558,0.193326722,0.003418995,0.057053476,0.001594893,-0.029684109,0.000348025,0.063349408,0.059336261,0.977141816,73,2278.344728,2331.641827,1981.895553,31.21020176,0.623572383
106,4016,2501,22,1,25012201,N24844,2201,6/12/2025,13,5.63876483,35.99110819,761.6073377,1263998.749,0.19278634,0.002645151,0.050715225,0.001298498,-0.023666768,0.000446722,0.0505795,0.048021214,0.974994077,77,2822.477434,2894.866238,2460.636302,36.65555109,0.716946098
