fid,id,Trial,Row,Column,Combocode,VarietyName,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA_Mean,PLTCount,Yield,HACorrectedYield,HACorrected85Yield,Perplantyield,PeakStand
32,2002,2501,7,2,25010702,N22605,702,6/12/2025,13,6.040154588,78.10903885,913.6155904,1897025.772,0.194482819,0.004332321,0.057630682,0.001751105,-0.035059152,0.000327484,0.075951102,0.070182532,0.980697022,78,2787.440153,2842.305107,2415.959341,35.73641221,0.910508493
33,2003,2501,7,3,25010703,N24851,703,6/12/2025,13,5.239228155,27.3154264,1058.548476,973875.6309,0.181186977,0.002527554,0.047726533,0.00126965,-0.036270629,0.000270478,0.04122355,0.039524169,0.980770983,95,1705.510611,1738.948888,1478.106555,17.95274327,0.712369476
34,2004,2501,7,4,25010704,N24826,704,6/12/2025,13,5.960302457,18.88735865,1119.249073,909566.5628,0.179404139,0.002299578,0.046917913,0.001303041,-0.034965704,0.000293386,0.038245528,0.036782807,0.977599563,83,2930.250384,2997.393305,2547.78431,35.3042215,0.782425864
35,2005,2501,7,5,25010705,N22616,705,6/12/2025,13,7.137402697,35.98125755,1017.932217,929721.6764,0.182203561,0.003072139,0.046575673,0.001629916,-0.034030289,0.000207254,0.050597522,0.048037413,0.963602894,72,2930.696706,3041.39467,2585.185469,40.70412092,0.775125628
36,2006,2501,8,1,25010801,I22001,801,6/12/2025,13,3.288079379,15.70430846,1208.976822,1166502.986,0.178493824,0.002331237,0.048974028,0.001689899,-0.035691499,0.000735405,0.033632103,0.032500984,0.969416396,87,2314.348497,2387.36265,2029.258253,26.60170686,0.704190341
37,2007,2501,8,2,25010802,N18103,802,6/12/2025,13,4.747287671,32.16452004,1065.018619,1199471.559,0.188065059,0.003797486,0.055526107,0.00207163,-0.033912149,0.000639786,0.061315068,0.057555531,0.970400612,67,2699.974073,2782.329317,2364.97992,40.2981205,0.832241153
38,2008,2501,8,3,25010803,N23706,803,6/12/2025,13,5.114595039,27.47605531,1148.825857,938281.4471,0.187650562,0.002381757,0.057641454,0.001334084,-0.028038341,0.00039354,0.044127724,0.042180468,0.948654856,78,2857.305214,3011.95445,2560.161283,36.63211813,0.652939413
39,2009,2501,8,4,25010804,N24844,804,6/12/2025,13,6.292522597,26.73864308,1133.733558,911887.0765,0.188581042,0.002236527,0.057099489,0.001194982,-0.024459082,0.000295632,0.043741441,0.041828127,0.981243848,80,3225.194882,3286.843416,2793.816904,40.31493602,0.784618325
40,2010,2501,8,5,25010805,I21920,805,6/12/2025,13,6.759428149,24.74737263,1017.091704,893242.183,0.189212434,0.00275816,0.054133118,0.00149602,-0.024398643,0.000239161,0.049571386,0.047114063,0.977725525,84,2149.495583,2198.465243,1868.695457,25.58923313,0.641530532
41,2011,2501,9,1,25010901,N21510,901,6/12/2025,13,3.885341591,17.72092486,909.4367875,932909.6597,0.182560678,0.001936624,0.044550876,0.001278633,-0.033274449,0.000487866,0.034008386,0.032851815,0.973717785,80,3905.551373,4010.968509,3409.323233,48.81939216,0.810557649
42,2012,2501,9,2,25010902,N24828,902,6/12/2025,13,4.024984248,16.09690202,999.715125,812960.0871,0.177429151,0.002213986,0.041756493,0.00139097,-0.036900664,0.000433699,0.036928472,0.03556476,0.980351056,92,2821.558623,2878.110453,2446.393885,30.66911547,0.728220809
43,2013,2501,9,3,25010903,N22602,903,6/12/2025,13,4.923165452,30.58263155,994.8467749,982721.0859,0.167429967,0.003123499,0.031664123,0.001664909,-0.038676989,0.000333914,0.046089768,0.043965501,0.946834105,70,2512.662402,2653.751474,2255.688753,35.89517717,0.730614809
44,2014,2501,9,4,25010904,N22622,904,6/12/2025,13,6.009343746,40.18960991,954.6132893,1161616.043,0.162169767,0.003277577,0.024551588,0.001837533,-0.036351914,0.000353518,0.044882861,0.042868389,0.984143185,82,2036.761331,2069.57825,1759.141512,24.83855282,0.737628359
45,2015,2501,9,5,25010905,N24811,905,6/12/2025,13,5.618536077,22.00356313,882.859949,818532.7829,0.165871571,0.002227846,0.026525387,0.001289176,-0.031708147,0.000239731,0.032528569,0.031470461,0.961122047,73,2436.39879,2534.952556,2154.709672,33.37532589,0.59459091
46,2016,2501,10,1,25011001,N11283,1001,6/12/2025,13,4.981321721,9.440014828,1207.852934,816821.9835,0.179075645,0.001668269,0.048121188,0.001286199,-0.031997807,0.000381848,0.028674719,0.027852479,0.969506416,82,2241.155464,2311.64583,1964.898956,27.33116419,0.651805192
