fid,id,Trial,Row,Column,MasonPlot#,layer,path,620ExG_mean,Exg_Var,620ExR_mean,620ExR_variance,620NDVI_mean,620NDVI_variance,620gNDVI_mean,620gNDVI_variance,620NDRE_mean,620NDRE_variance,620THRESH_mean,620THRESH_variance,620PLT
17,1017,2501,4,2,402,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,11.63106823,,43.58698664,173.1793665,0.189556054,0.011543585,0.050597899,0.002817522,-0.034087585,0.000961391,0.138270383,0.119151684,36
18,1018,2501,4,3,403,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.365855,,41.06997746,248.0748229,0.210956513,0.017117868,0.055994862,0.003861446,-0.038236634,0.001259285,0.196669049,0.157990334,18
19,1019,2501,4,4,404,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,12.01450749,,43.4585465,221.4732892,0.184231339,0.011799404,0.037889759,0.003182055,-0.041103051,0.001533534,0.14153043,0.121499567,40
20,1020,2501,4,5,405,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,14.19455894,,43.87723,275.8707991,0.179031006,0.014232,0.023010833,0.003234248,-0.04037191,0.001127147,0.161720253,0.135566813,24
21,1021,2501,5,1,501,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.07942486,,38.32467147,269.0724209,0.220856909,0.018830986,0.066010308,0.003798242,-0.027194684,0.002017562,0.218040358,0.170498761,11
22,1022,2501,5,2,502,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,10.58434596,,39.59991753,224.279691,0.205006568,0.015531089,0.06083546,0.003555221,-0.030480185,0.001427034,0.184802331,0.15065043,28
23,1023,2501,5,3,503,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.547231539,,39.60638368,204.6805737,0.19758843,0.013743456,0.054984972,0.003395037,-0.03578412,0.00140621,0.170286468,0.141288987,29
24,1024,2501,5,4,504,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.163317481,,39.95066662,251.2592084,0.196858425,0.013994858,0.054843113,0.003933077,-0.035612045,0.001633958,0.162905132,0.13636705,34
25,1025,2501,5,5,505,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,10.78416397,,40.04313424,266.8989629,0.193489392,0.014427722,0.045238539,0.003494779,-0.030054794,0.001217525,0.171383043,0.142010896,25
26,1026,2501,6,1,601,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.962525413,,38.68212538,300.5951386,0.215183221,0.019197804,0.06864889,0.005287528,-0.02810792,0.001375276,0.20498379,0.162965436,21
27,1027,2501,6,2,602,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.225699214,,41.90545635,179.761684,0.186016218,0.01208709,0.050921544,0.002849021,-0.034372273,0.001065896,0.143469421,0.122885947,33
28,1028,2501,6,3,603,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,8.273711694,,41.57342862,200.1783393,0.18831118,0.012869555,0.053968592,0.003160908,-0.037122386,0.000835646,0.148687646,0.12657963,35
29,1029,2501,6,4,604,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,8.390565727,,42.8351641,252.361934,0.198205319,0.01431102,0.059872495,0.003778033,-0.037104385,0.000848057,0.172054538,0.142451774,26
30,1030,2501,6,5,605,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.394167606,,42.06796032,283.0247509,0.203523779,0.015268598,0.062631296,0.003636695,-0.031912413,0.000734125,0.179204574,0.147090294,17
31,2001,2501,7,1,701,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.599983508,,40.94236002,199.7317099,0.185785719,0.013135697,0.044694833,0.003126157,-0.041347063,0.000853237,0.146944834,0.12535205,32
32,2002,2501,7,2,702,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,10.9392973,,38.13909386,214.3698615,0.211270924,0.017263087,0.05603761,0.00325826,-0.041387866,0.000935124,0.208500577,0.165028087,14
33,2003,2501,7,3,703,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,8.577817482,,39.96951622,190.1935498,0.18969344,0.013998964,0.048996177,0.003102466,-0.041321429,0.000971778,0.159455745,0.13402961,29
34,2004,2501,7,4,704,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,7.653956123,,40.54787486,229.4146666,0.183711708,0.013748488,0.047201124,0.003370196,-0.040993143,0.001072885,0.148787596,0.126649847,33
35,2005,2501,7,5,705,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,10.05374423,,39.4809105,275.3880144,0.198181871,0.016474893,0.053207825,0.003256665,-0.038489945,0.000898354,0.179211568,0.147094782,23
36,2006,2501,8,1,801,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,10.00038476,,41.00191283,258.4906623,0.186959722,0.014904507,0.054643017,0.004111486,-0.029474106,0.001235506,0.151266971,0.128385274,37
37,2007,2501,8,2,802,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.544457275,,37.91113494,256.5452376,0.196167916,0.019243441,0.052737638,0.004851847,-0.024518632,0.000964105,0.191163532,0.154620036,22
38,2008,2501,8,3,803,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.152302957,,41.40634276,205.1841107,0.158729475,0.013951216,0.016588273,0.003527459,-0.020997167,0.001582563,0.145569968,0.124379353,30
39,2009,2501,8,4,804,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,9.699125749,,40.22403914,199.8664411,0.151705919,0.014594285,0.003072123,0.004291558,-0.015347351,0.002344556,0.144361357,0.123521156,38
