fid,id,Trial,Row,Column,Combocode,MasonPlot#,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,612PLTCOUNT,6-12HA_mean,,NDRE_mean,NDRE_Var
30,1030,2501,6,5,25010605,605,25,10.07326478,176.4318417,728.6633212,2473025.441,0.185754109,0.016930353,0.041469427,0.009331395,-0.032529002,0.001105483,0.179237543,0.147111446,0.614715853,19,,,
31,2001,2501,7,1,25010701,701,25,9.447447612,215.4185464,753.2217868,4079588.215,0.200194285,0.0165607,0.057372283,0.009302844,-0.033195981,0.000901297,0.175794715,0.144890933,0.749740262,28,,,
32,2002,2501,7,2,25010702,702,25,13.25858768,355.8258958,393.6109781,4697356.413,0.233206244,0.022042198,0.080874848,0.011163388,-0.029616984,0.000988805,0.251504212,0.188249843,0.420489547,14,,,
33,2003,2501,7,3,25010703,703,25,9.152939246,158.603056,870.3952838,2765237.932,0.200752871,0.014487182,0.061721102,0.008225783,-0.030456388,0.000788536,0.175014361,0.144384335,0.735095234,29,,,
34,2004,2501,7,4,25010704,704,25,7.942095186,103.1427904,1054.404409,2368737.421,0.190764523,0.011900538,0.056226129,0.00734863,-0.028449662,0.00071159,0.146827133,0.125268926,0.878584058,46,,,
35,2005,2501,7,5,25010705,705,25,10.02498085,172.288229,805.7261848,2677877.864,0.21323808,0.01624319,0.071963473,0.009205141,-0.022243815,0.000707759,0.198533435,0.15911791,0.678411287,28,,,
36,2006,2501,8,1,25010801,801,25,8.816608334,125.5530732,992.232571,1933283.615,0.202418057,0.014870066,0.066542754,0.009116662,-0.030176862,0.001306714,0.168790331,0.140300155,0.896400255,46,,,
37,2007,2501,8,2,25010802,802,25,9.916064982,158.1814737,804.785144,2081940.923,0.217516983,0.017316217,0.077338784,0.0101816,-0.029141069,0.001093869,0.201044743,0.160625755,0.584477133,19,,,
38,2008,2501,8,3,25010803,803,25,9.396215063,157.3598872,812.869119,1963011.609,0.210225082,0.014225084,0.070341494,0.008123926,-0.031312342,0.000734185,0.184734453,0.150607635,0.703393847,28,,,
39,2009,2501,8,4,25010804,804,25,9.297166457,144.0719404,798.3788852,1969727.875,0.205762856,0.013111693,0.064620932,0.007595259,-0.030594972,0.000829248,0.176275915,0.145202717,0.814551552,40,,,
40,2010,2501,8,5,25010805,805,25,11.090096,173.9476826,654.4454418,2264693.735,0.235551053,0.02000363,0.092173233,0.012351617,-0.021417005,0.000864488,0.241404776,0.18312851,0.521680488,23,,,
41,2011,2501,9,1,25010901,901,25,9.78173963,170.9823042,828.3249622,2696508.861,0.20886126,0.015620927,0.069166546,0.009434736,-0.028936484,0.000927056,0.183560745,0.149866198,0.632176576,23,,,
