fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,NDVI_mean,SAVI_mean,THRESH_mea,HArea_mean,PLTCOUNT,6-28SAVI_m
1517,2024/06/04,01:48:44pm,4.710000000000000,"905",U-1,45.432950300000002,-73.939211110000002,39.021000000000001,"0","0",,"1",5009318c201f855b,0,0,"101","101",0.277676770199150,61465.281493428054091,0.070022396197217,0.938472874643087,77.000000000000000,0.555913355369532
1519,2024/06/04,02:15:42pm,4.710000000000000,"905",U1,45.432976490000001,-73.939129780000002,39.021000000000001,"0","0",,"1",500937de01a1bd1f,0,1,"108","108",0.286813185291396,60446.670558276200609,0.100215475024486,0.983421052631579,81.000000000000000,0.573418506748938
1520,2024/06/04,02:15:55pm,4.710000000000000,"905",U3,45.433003650000003,-73.939049060000002,39.021000000000001,"0","0",,"1",500937eb32eb8e40,0,2,"201","201",0.302692726593245,63750.249689846554247,0.140868429644140,0.986526493072460,66.000000000000000,0.605749325632550
1521,2024/06/04,02:16:07pm,4.710000000000000,"905",U5,45.433030150000000,-73.938967959999999,39.021000000000001,"0","0",,"1",500937f72fc8d1c6,0,3,"208","208",0.371607373249951,69521.077200336934766,0.282754477724017,0.773654916512059,29.000000000000000,0.743324089190492
1522,2024/06/04,02:16:20pm,4.710000000000000,"905",U7,45.433057239999997,-73.938887170000001,39.021000000000001,"0","0",,"1",5009380464b28f42,0,4,"301","301",0.303754957364054,64087.916303730351501,0.167960613520167,0.800247371675943,41.000000000000000,0.607865832441175
1523,2024/06/04,02:16:32pm,4.710000000000000,"905",U9,45.433084340000001,-73.938806409999998,39.021000000000001,"0","0",,"1","5009381040517900",0,5,"308","308",0.256237137789515,64596.331888108237763,0.106041907448399,0.692838063658732,31.000000000000000,0.512424229629572
1524,2024/06/04,02:17:01pm,4.710000000000000,"905",U11,45.433110970000001,-73.938725320000003,39.021000000000001,"0","0",,"1",5009382d1f03b98f,0,6,"401","401",0.302137202829995,63765.394833755584841,0.167419750829263,0.765286385347176,23.000000000000000,0.604385431457291
1525,2024/06/04,02:17:13pm,4.710000000000000,"905",U13,45.433137909999999,-73.938644470000000,39.021000000000001,"0","0",,"1",500938393916ae56,0,6,"408","408",0.321717343160401,67502.190530913940165,0.188506767830442,0.909368421052632,44.000000000000000,0.643434651981319
1526,2024/06/04,02:18:31pm,4.710000000000000,"905",D13,45.433112700000002,-73.938627629999999,39.020000000000003,"0","0",,"1",500938877536384a,1,7,"409","409",0.256960142923669,65376.924857001067721,0.088306735967822,0.523605263157895,18.000000000000000,0.513876738031851
1527,2024/06/04,02:18:44pm,4.710000000000000,"905",D11,45.433086109999998,-73.938708719999994,39.020000000000003,"0","0",,"1",50093894752ce1b7,1,6,"402","402",0.355228908352360,71277.471674458691268,0.261910047796902,0.663864108839241,24.000000000000000,0.710681872254742
