Trial,DAS,Variable,Yield_r,Yield_p
24112,27,PlantCount,-0.368773535,0.1598541016
24112,27,Thresh,0.7294662366,0.001341402
24112,27,HA,0.0424580384,0.8759345311
24112,27,NDVI,0.7171571189,0.0017663129
24112,27,SAVI,0.717157222,0.0017663089
24112,27,GNDVI,0.7268364279,0.0014243233
24112,27,NDRE,0.7447167766,0.0009344831
24112,27,ExG,0.6897757509,0.0031090197
24112,27,ExR,-0.758197498,0.0006647977
24112,35,PlantCount,-0.643307299,0.0071773951
24112,35,Thresh,0.4640882688,0.0701653557
24112,35,HA,-0.450341822,0.0800381416
24112,35,NDVI,0.5213996615,0.0383350171
24112,35,SAVI,,
24112,35,GNDVI,0.6335236994,0.0084183712
24112,35,NDRE,0.7939005119,0.0002408128
24112,35,ExG,0.4681380535,0.0674338908
24112,35,ExR,-0.632577027,0.0085469274
24112,40,PlantCount,0.147547308,0.585537528
24112,40,Thresh,0.3710066344,0.157145305
24112,40,HA,0.228770941,0.3940804205
24112,40,NDVI,0.4270286482,0.0990092327
24112,40,SAVI,0.4271150092,0.0989335757
24112,40,GNDVI,0.602404394,0.0135290828
24112,40,NDRE,0.3830459903,0.1430733515
24112,40,ExG,0.3150232208,0.2346608998
24112,40,ExR,-0.422443173,0.1030854393
