fid,id,Trial Name,IDrow,layer,path,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,ExR2mean
13,203,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2765.405119,9280919.202,2765.405119,9280919.202,0.055043039,0.008374652,-0.033521889,0.00070419,0.245245115,0.016850563,0.080002392,0.073602009,0.961539841,0.036980975,82,15213.21715
14,204,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2489.727387,4192882.349,2489.727387,4192882.349,0.027428118,0.004494042,-0.041889922,0.000604458,0.213006694,0.007801973,0.033176659,0.032075968,0.954947736,0.043022557,85,16450.98966
15,205,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2785.823759,7368335.32,2785.823759,7368335.32,0.042515662,0.005954921,-0.038183867,0.001219657,0.229870427,0.010876454,0.051706746,0.049033158,0.900688642,0.089448612,73,16177.36012
16,206,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2513.290744,6707405.327,2513.290744,6707405.327,0.065068966,0.00736209,-0.027775003,0.001498955,0.250637806,0.012929979,0.063399232,0.05937977,0.940606611,0.055865814,55,15555.51228
17,207,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2352.473941,5969953.985,2352.473941,5969953.985,0.072032442,0.006446756,-0.028286126,0.001611026,0.258648242,0.011585721,0.065060089,0.060827273,0.954518427,0.043413,79,14776.30758
18,208,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2086.383684,8113010.177,2086.383684,8113010.177,0.056119153,0.004114192,-0.036046826,0.000528998,0.237922735,0.009007342,0.045937833,0.043827548,0.856305757,0.123046208,41,15314.39479
19,209,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2174.605466,12419645.06,2174.605466,12419645.06,0.078875335,0.006811198,-0.030897766,0.000615774,0.270464744,0.01551435,0.085865877,0.078492928,0.962603331,0.035998158,63,14974.61233
20,210,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2066.152865,11838700.25,2066.152865,11838700.25,0.073300229,0.00545182,-0.028822392,0.000599973,0.266860824,0.012456808,0.072730049,0.067440389,0.941894935,0.054728866,76,14930.80588
21,301,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2861.381341,13653481.39,2861.381341,13653481.39,0.021222208,0.004274727,-0.04377623,0.000547883,0.208268341,0.010799766,0.049581203,0.047122908,0.938840478,0.057419035,60,15955.55913
22,302,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3147.323941,26778191.26,3147.323941,26778191.26,0.027727939,0.007682961,-0.046854848,0.000628779,0.230029878,0.020520214,0.099050398,0.089239417,0.833843615,0.138548441,57,15596.95538
