Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25105,30,ExG,-0.158205695,0.5052986582,0.7591008998,0.0001040603
25105,30,ExR,0.2245166813,0.3412778185,-0.757272714,0.0001105761
25105,30,GNDRE,-0.445644075,0.0489228082,0.5455047602,0.0128546778
25105,30,GNDVI,-0.356198447,0.1232032687,0.7167437647,0.0003768394
25105,30,HA,-0.039495873,0.868690896,0.2800725534,0.2316989391
25105,30,NDVI,-0.347305865,0.1335238971,0.7137127442,0.0004096309
25105,30,PlantCount,-0.100995384,0.6718073685,0.0600458251,0.8014516368
25105,30,Thresh,-0.291811669,0.2118913163,0.7209878275,0.0003346964
25105,37,ExG,0.0891385174,0.7086150643,0.7940051763,0.0000292139
25105,37,ExR,0.0326962762,0.8911549299,-0.748890762,0.0001451343
25105,37,GNDRE,-0.300645467,0.1977461082,0.3640588898,0.1145655703
25105,37,GNDVI,-0.231425815,0.3262276573,0.5378202848,0.0144493656
25105,37,HA,0.3578736032,0.1213246965,0.1441332456,0.5443431518
25105,37,NDVI,-0.163056392,0.4921608164,0.6193377102,0.0035905234
25105,37,PlantCount,0.4355996247,0.0548877155,0.0404154149,0.8656600224
25105,37,Thresh,-0.156530034,0.5098759504,0.7049240134,0.0005187726
25105,42,ExG,0.430745186,0.0579616931,0.8443227313,2.8572181E-6
25105,42,ExR,-0.409542828,0.0729401833,-0.857064127,1.3913069E-6
25105,42,GNDRE,-0.409542828,0.0729401833,-0.857064127,1.3913069E-6
25105,42,GNDVI,0.2156425947,0.361192429,0.7207227665,0.0003372053
25105,42,HA,0.2794475618,0.2327860348,0.3640068332,0.1146213016
25105,42,NDVI,0.2873890634,0.2192177145,0.8098651744,0.0000151163
25105,42,PlantCount,0.0921426789,0.6992263472,0.2094628826,0.3754448546
25105,42,Thresh,0.2990848238,0.2001979438,0.8832502832,2.4872996E-7
25106,10,ExG,-0.249528835,0.3513303007,0.4637077747,0.0704260627
