fid,id,Trial Name,TrialCode,ComboCode,DAS,layer,path,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,PlotYield,PeakStand,HACorrectedYield
19,209,AYT Trial,25111,25111209,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2174.605466,12419645.06,2174.605466,12419645.06,0.078875335,0.006811198,-0.030897766,0.000615774,0.270464744,0.01551435,0.085865877,0.078492928,0.962603331,0.035998158,63,2428.584724,0.863037362,2522.934054
20,210,AYT Trial,25111,25111210,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2066.152865,11838700.25,2066.152865,11838700.25,0.073300229,0.00545182,-0.028822392,0.000599973,0.266860824,0.012456808,0.072730049,0.067440389,0.941894935,0.054728866,76,2134.146341,0.689922382,2265.800846
21,301,AYT Trial,25111,25111301,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2861.381341,13653481.39,2861.381341,13653481.39,0.021222208,0.004274727,-0.04377623,0.000547883,0.208268341,0.010799766,0.049581203,0.047122908,0.938840478,0.057419035,60,1772.581836,0.744553414,1888.054337
22,302,AYT Trial,25111,25111302,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3147.323941,26778191.26,3147.323941,26778191.26,0.027727939,0.007682961,-0.046854848,0.000628779,0.230029878,0.020520214,0.099050398,0.089239417,0.833843615,0.138548441,57,2060.911425,0.74304235,2471.580267
23,303,AYT Trial,25111,25111303,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2778.481716,14460441.38,2778.481716,14460441.38,0.071121304,0.011301808,-0.031002142,0.000925873,0.26726649,0.023557143,0.119453291,0.105184202,0.908022901,0.083517312,79,1677.467908,0.662523545,1847.385023
24,304,AYT Trial,25111,25111304,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2882.765459,12938870.64,2882.765459,12938870.64,0.05523305,0.011052165,-0.036539159,0.000887635,0.254341244,0.021804069,0.106063868,0.094814324,0.894191665,0.094612931,51,2638.87837,0.729922729,2951.13282
25,305,AYT Trial,25111,25111305,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2580.187004,6372972.506,2580.187004,6372972.506,0.04818146,0.007299768,-0.036014129,0.001507706,0.238428357,0.012801786,0.061991675,0.058148708,0.923973111,0.070246801,65,2035.834403,0.593600861,2203.348105
26,306,AYT Trial,25111,25111306,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2278.941395,4219688.17,2278.941395,4219688.17,0.053165274,0.005579237,-0.029906406,0.001421129,0.239463219,0.008962711,0.04360618,0.041704681,0.951414014,0.046225388,55,1864.188062,0.786376895,1959.386802
27,307,AYT Trial,25111,25111307,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2705.311527,12203674.51,2705.311527,12203674.51,0.099350458,0.0121118,-0.021272858,0.002419125,0.29749799,0.022359391,0.122856307,0.107762635,0.941596003,0.05499297,69,2916.816431,0.806699294,3097.736632
28,308,AYT Trial,25111,25111308,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2089.655143,12435935.04,2089.655143,12435935.04,0.073755411,0.005042482,-0.032325589,0.000571544,0.259067212,0.011903095,0.067313386,0.062782294,0.905336626,0.08570222,44,3189.656611,0.713763826,3523.171955
