id,Trial Name,TrialNumber,id_2,Trial Name_2,Combocode,distance
102,AYT Trial,25111,102,AYT Trial,25111102,0.069658709
102,AYT Trial,25111,102,AYT Trial,25111102,0.036483212
102,AYT Trial,25111,102,AYT Trial,25111102,0.159832866
102,AYT Trial,25111,102,AYT Trial,25111102,0.042469397
102,AYT Trial,25111,102,AYT Trial,25111102,0.042469397
102,AYT Trial,25111,102,AYT Trial,25111102,0.050756773
102,AYT Trial,25111,102,AYT Trial,25111102,0.050756773
102,AYT Trial,25111,102,AYT Trial,25111102,0.076704524
102,AYT Trial,25111,102,AYT Trial,25111102,0.143524369
102,AYT Trial,25111,102,AYT Trial,25111102,0.138492441
102,AYT Trial,25111,102,AYT Trial,25111102,0.122022897
102,AYT Trial,25111,102,AYT Trial,25111102,0.149073725
102,AYT Trial,25111,102,AYT Trial,25111102,0.138492441
102,AYT Trial,25111,102,AYT Trial,25111102,0.005982968
102,AYT Trial,25111,102,AYT Trial,25111102,0.005982968
102,AYT Trial,25111,102,AYT Trial,25111102,0.304888103
102,AYT Trial,25111,102,AYT Trial,25111102,0.056028606
102,AYT Trial,25111,102,AYT Trial,25111102,0.056028606
102,AYT Trial,25111,102,AYT Trial,25111102,0.17976754
102,AYT Trial,25111,102,AYT Trial,25111102,0.195557162
102,AYT Trial,25111,102,AYT Trial,25111102,0.184082188
102,AYT Trial,25111,102,AYT Trial,25111102,0.10869732
102,AYT Trial,25111,102,AYT Trial,25111102,0.144313689
102,AYT Trial,25111,102,AYT Trial,25111102,0.129689835
102,AYT Trial,25111,102,AYT Trial,25111102,0.104981361
102,AYT Trial,25111,102,AYT Trial,25111102,0.105716395
102,AYT Trial,25111,102,AYT Trial,25111102,0.071639175
102,AYT Trial,25111,102,AYT Trial,25111102,0.109527293
102,AYT Trial,25111,102,AYT Trial,25111102,0.109527293
102,AYT Trial,25111,102,AYT Trial,25111102,0.124433882
102,AYT Trial,25111,102,AYT Trial,25111102,0.124433882
102,AYT Trial,25111,102,AYT Trial,25111102,0.076704524
102,AYT Trial,25111,102,AYT Trial,25111102,0.074600673
102,AYT Trial,25111,102,AYT Trial,25111102,0.074600673
102,AYT Trial,25111,102,AYT Trial,25111102,0.193399126
102,AYT Trial,25111,102,AYT Trial,25111102,0.121109672
102,AYT Trial,25111,102,AYT Trial,25111102,0.121109672
102,AYT Trial,25111,102,AYT Trial,25111102,0.139343371
102,AYT Trial,25111,102,AYT Trial,25111102,0.139343371
102,AYT Trial,25111,102,AYT Trial,25111102,0.122022897
103,AYT Trial,25111,103,AYT Trial,25111103,0.018027757
103,AYT Trial,25111,103,AYT Trial,25111103,0.018027757
103,AYT Trial,25111,103,AYT Trial,25111103,0.075090208
103,AYT Trial,25111,103,AYT Trial,25111103,0.075090208
103,AYT Trial,25111,103,AYT Trial,25111103,0.105578728
103,AYT Trial,25111,103,AYT Trial,25111103,0.072111026
103,AYT Trial,25111,103,AYT Trial,25111103,0.062236603
103,AYT Trial,25111,103,AYT Trial,25111103,0.066989335
103,AYT Trial,25111,103,AYT Trial,25111103,0.062236603
103,AYT Trial,25111,103,AYT Trial,25111103,0.048329252
103,AYT Trial,25111,103,AYT Trial,25111103,0.118187363
103,AYT Trial,25111,103,AYT Trial,25111103,0.0275
103,AYT Trial,25111,103,AYT Trial,25111103,0.048329252
103,AYT Trial,25111,103,AYT Trial,25111103,0.022360679
103,AYT Trial,25111,103,AYT Trial,25111103,0.022360679
103,AYT Trial,25111,103,AYT Trial,25111103,0.118187363
103,AYT Trial,25111,103,AYT Trial,25111103,0.014142136
103,AYT Trial,25111,103,AYT Trial,25111103,0.014142136
103,AYT Trial,25111,103,AYT Trial,25111103,0.078643464
103,AYT Trial,25111,103,AYT Trial,25111103,0.165555528
103,AYT Trial,25111,103,AYT Trial,25111103,0.06987578
103,AYT Trial,25111,103,AYT Trial,25111103,0.298866524
103,AYT Trial,25111,103,AYT Trial,25111103,0.060578247
103,AYT Trial,25111,103,AYT Trial,25111103,0.257131953
103,AYT Trial,25111,103,AYT Trial,25111103,0.060578247
103,AYT Trial,25111,103,AYT Trial,25111103,0.257131953
103,AYT Trial,25111,103,AYT Trial,25111103,0.01356358
103,AYT Trial,25111,103,AYT Trial,25111103,0.066268086
103,AYT Trial,25111,103,AYT Trial,25111103,0.084846659
103,AYT Trial,25111,103,AYT Trial,25111103,0.066836556
103,AYT Trial,25111,103,AYT Trial,25111103,0.01356358
103,AYT Trial,25111,103,AYT Trial,25111103,0.066836556
103,AYT Trial,25111,103,AYT Trial,25111103,0.0585235
103,AYT Trial,25111,103,AYT Trial,25111103,0.141551724
103,AYT Trial,25111,103,AYT Trial,25111103,0.0585235
103,AYT Trial,25111,103,AYT Trial,25111103,0.124705822
103,AYT Trial,25111,103,AYT Trial,25111103,0.10307764
103,AYT Trial,25111,103,AYT Trial,25111103,0.017950549
103,AYT Trial,25111,103,AYT Trial,25111103,0.017950549
103,AYT Trial,25111,103,AYT Trial,25111103,0.126452398
103,AYT Trial,25111,103,AYT Trial,25111103,0.061275332
103,AYT Trial,25111,103,AYT Trial,25111103,0.065489609
103,AYT Trial,25111,103,AYT Trial,25111103,0.065489609
103,AYT Trial,25111,103,AYT Trial,25111103,0.087519558
103,AYT Trial,25111,103,AYT Trial,25111103,0.150954693
103,AYT Trial,25111,103,AYT Trial,25111103,0.069781404
103,AYT Trial,25111,103,AYT Trial,25111103,0.033938774
103,AYT Trial,25111,103,AYT Trial,25111103,0.017289084
103,AYT Trial,25111,103,AYT Trial,25111103,0.017289084
103,AYT Trial,25111,103,AYT Trial,25111103,0.253620396
103,AYT Trial,25111,103,AYT Trial,25111103,0.065245928
103,AYT Trial,25111,103,AYT Trial,25111103,0.065245928
103,AYT Trial,25111,103,AYT Trial,25111103,0.043365373
103,AYT Trial,25111,103,AYT Trial,25111103,0.026874192
103,AYT Trial,25111,103,AYT Trial,25111103,0.026874192
103,AYT Trial,25111,103,AYT Trial,25111103,0.150656107
103,AYT Trial,25111,103,AYT Trial,25111103,0.133704485
103,AYT Trial,25111,103,AYT Trial,25111103,0.105265911
103,AYT Trial,25111,103,AYT Trial,25111103,0.105265911
103,AYT Trial,25111,103,AYT Trial,25111103,0.237745343
103,AYT Trial,25111,103,AYT Trial,25111103,0.021547129
103,AYT Trial,25111,103,AYT Trial,25111103,0.021547129
103,AYT Trial,25111,103,AYT Trial,25111103,0.195746606
103,AYT Trial,25111,103,AYT Trial,25111103,0.296551392
103,AYT Trial,25111,103,AYT Trial,25111103,0.06388244
103,AYT Trial,25111,103,AYT Trial,25111103,0.080329382
103,AYT Trial,25111,103,AYT Trial,25111103,0.06388244
103,AYT Trial,25111,103,AYT Trial,25111103,0.133180686
103,AYT Trial,25111,103,AYT Trial,25111103,0.096141634
103,AYT Trial,25111,103,AYT Trial,25111103,0.096141634
103,AYT Trial,25111,103,AYT Trial,25111103,0.11700607
103,AYT Trial,25111,103,AYT Trial,25111103,0.11700607
103,AYT Trial,25111,103,AYT Trial,25111103,0.069804689
103,AYT Trial,25111,103,AYT Trial,25111103,0.069804689
103,AYT Trial,25111,103,AYT Trial,25111103,0.066268086
103,AYT Trial,25111,103,AYT Trial,25111103,0.114387698
103,AYT Trial,25111,103,AYT Trial,25111103,0.087519558
103,AYT Trial,25111,103,AYT Trial,25111103,0.11170094
103,AYT Trial,25111,103,AYT Trial,25111103,0.105578728
103,AYT Trial,25111,103,AYT Trial,25111103,0.06987578
103,AYT Trial,25111,103,AYT Trial,25111103,0.084846659
103,AYT Trial,25111,103,AYT Trial,25111103,0.107758687
103,AYT Trial,25111,103,AYT Trial,25111103,0.233637594
103,AYT Trial,25111,103,AYT Trial,25111103,0.150656107
104,AYT Trial,25111,104,AYT Trial,25111104,0.099670727
104,AYT Trial,25111,104,AYT Trial,25111104,0.147141416
104,AYT Trial,25111,104,AYT Trial,25111104,0.085982897
104,AYT Trial,25111,104,AYT Trial,25111104,0.102592201
104,AYT Trial,25111,104,AYT Trial,25111104,0.085982897
104,AYT Trial,25111,104,AYT Trial,25111104,0.129203881
104,AYT Trial,25111,104,AYT Trial,25111104,0.049514793
104,AYT Trial,25111,104,AYT Trial,25111104,0.372405279
104,AYT Trial,25111,104,AYT Trial,25111104,0.049514793
104,AYT Trial,25111,104,AYT Trial,25111104,0.184131335
104,AYT Trial,25111,104,AYT Trial,25111104,0.088459959
104,AYT Trial,25111,104,AYT Trial,25111104,0.174181772
104,AYT Trial,25111,104,AYT Trial,25111104,0.112510489
104,AYT Trial,25111,104,AYT Trial,25111104,0.112510489
104,AYT Trial,25111,104,AYT Trial,25111104,0.094467769
104,AYT Trial,25111,104,AYT Trial,25111104,0.283806134
104,AYT Trial,25111,104,AYT Trial,25111104,0.095574042
104,AYT Trial,25111,104,AYT Trial,25111104,0.09600742
104,AYT Trial,25111,104,AYT Trial,25111104,0.135014759
104,AYT Trial,25111,104,AYT Trial,25111104,0.156149198
104,AYT Trial,25111,104,AYT Trial,25111104,0.275788633
104,AYT Trial,25111,104,AYT Trial,25111104,0.275788633
104,AYT Trial,25111,104,AYT Trial,25111104,0.1044749
104,AYT Trial,25111,104,AYT Trial,25111104,0.077336587
104,AYT Trial,25111,104,AYT Trial,25111104,0.077336587
104,AYT Trial,25111,104,AYT Trial,25111104,0.030413812
104,AYT Trial,25111,104,AYT Trial,25111104,0.030413812
104,AYT Trial,25111,104,AYT Trial,25111104,0.05587175
104,AYT Trial,25111,104,AYT Trial,25111104,0.131258607
104,AYT Trial,25111,104,AYT Trial,25111104,0.105517249
104,AYT Trial,25111,104,AYT Trial,25111104,0.121753941
104,AYT Trial,25111,104,AYT Trial,25111104,0.121753941
104,AYT Trial,25111,104,AYT Trial,25111104,0.094467769
104,AYT Trial,25111,104,AYT Trial,25111104,0.135223082
104,AYT Trial,25111,104,AYT Trial,25111104,0.16858724
104,AYT Trial,25111,104,AYT Trial,25111104,0.045937383
104,AYT Trial,25111,104,AYT Trial,25111104,0.045937383
