SiteYear,Trial,Trial_Full,Combocode,Yield,Yield_HAadj,HA,PeakStand
2025LODS,25111,2025LODS_25111,25111105.0,2572.666881,2731.1247159894165,0.94198074,0.893427571
2025LODS,25111,2025LODS_25111,25111106.0,1598.741977,1695.1153767158441,0.943146407,0.862963986
2025LODS,25111,2025LODS_25111,25111107.0,1100.044929,1168.6422059042027,0.941301729,0.902525978
2025LODS,25111,2025LODS_25111,25111108.0,1751.404044,1958.360904191681,0.894321389,0.807950822
2025LODS,25111,2025LODS_25111,25111109.0,2836.107189,2926.981357760245,0.968952939,0.780556652
2025LODS,25111,2025LODS_25111,25111110.0,1890.827985,2093.004577228548,0.903403655,0.820464983
2025LODS,25111,2025LODS_25111,25111201.0,2873.01027,3036.652445798231,0.946110996,0.738107716
2025LODS,25111,2025LODS_25111,25111202.0,2254.927792,2370.631268165557,0.951192968,0.590699232
2025LODS,25111,2025LODS_25111,25111203.0,1622.796855,1687.7063079490224,0.961539841,0.528290379
2025LODS,25111,2025LODS_25111,25111204.0,2654.484917,2779.71748288432,0.954947736,0.533044705
2025LODS,25111,2025LODS_25111,25111205.0,2797.62516,3106.0957466809045,0.900688642,0.575402854
2025LODS,25111,2025LODS_25111,25111206.0,1323.071245,1406.614869093239,0.940606611,0.926058359
2025LODS,25111,2025LODS_25111,25111207.0,2191.56611,2295.9914109651863,0.954518427,0.616619643
2025LODS,25111,2025LODS_25111,25111208.0,2785.418806,3252.832044197036,0.856305757,0.53164133
2025LODS,25111,2025LODS_25111,25111209.0,2428.584724,2522.9340537156318,0.962603331,0.863037362
2025LODS,25111,2025LODS_25111,25111210.0,2134.146341,2265.8008464606514,0.941894935,0.689922382
2025LODS,25111,2025LODS_25111,25111301.0,1772.581836,1888.054336745374,0.938840478,0.744553414
2025LODS,25111,2025LODS_25111,25111302.0,2060.911425,2471.5802674821703,0.833843615,0.74304235
2025LODS,25111,2025LODS_25111,25111303.0,1677.467908,1847.3850231669433,0.908022901,0.662523545
2025LODS,25111,2025LODS_25111,25111304.0,2638.87837,2951.132820053741,0.894191665,0.729922729
2025LODS,25111,2025LODS_25111,25111305.0,2035.834403,2203.348104791331,0.923973111,0.593600861
2025LODS,25111,2025LODS_25111,25111306.0,1864.188062,1959.386801716797,0.951414014,0.786376895
2025LODS,25111,2025LODS_25111,25111307.0,2916.816431,3097.7366319597686,0.941596003,0.806699294
2025LODS,25111,2025LODS_25111,25111308.0,3189.656611,3523.1719554887422,0.905336626,0.713763826
2025LODS,25111,2025LODS_25111,25111309.0,3449.229782,4121.822194631846,0.836821585,0.943195818
2025LODS,25111,2025LODS_25111,25111401.0,1960.516688,2072.138359482038,0.946132134,0.706431126
2025LODS,25111,2025LODS_25111,25111402.0,2271.840501,3375.4823755497564,0.673041731,0.398169966
2025LODS,25111,2025LODS_25111,25111403.0,1551.322208,1779.875613728335,0.871590237,0.790204421
2025LODS,25111,2025LODS_25111,25111404.0,2596.150513,2872.738808022224,0.903719651,0.644271139
2025LODS,25111,2025LODS_25111,25111405.0,2056.237163,2203.9520482679623,0.932977269,0.396051185
2025LODS,25111,2025LODS_25111,25111406.0,1804.313222,1957.884469887393,0.921562661,0.834488689
2025LODS,25111,2025LODS_25111,25111407.0,2259.040436,3040.2569433286494,0.743042604,0.332404839
2025LODS,25111,2025LODS_25111,25111408.0,2716.463415,2917.065292882261,0.931231612,0.911966988
2025LODS,25111,2025LODS_25111,25111410.0,3008.472401,3258.631616208125,0.923231821,0.765828081
2025LODS,25111,2025LODS_25111,25111409.0,2987.830552,3134.8037703411724,0.953115656,0.970961453
2025LODS,25111,2025LODS_25111,25111501.0,3019.951861,3185.7287862707185,0.947962637,0.710924792
2025LODS,25111,2025LODS_25111,25111502.0,3292.925225,3493.643543091716,0.942547568,0.779270174
2025LODS,25112,2025LODS_25112,25112601.0,2181.591784,2445.232228544872,0.892181838,0.567256288
2025LODS,25112,2025LODS_25112,25112602.0,2508.231707,2798.2516155420367,0.896356744,0.556947711
2025LODS,25112,2025LODS_25112,25112603.0,2318.13543,2467.2046872328324,0.939579696,0.773733976
2025LODS,25112,2025LODS_25112,25112604.0,634.4592426,686.425875432326,0.92429389,0.838578774
2025LODS,25112,2025LODS_25112,25112605.0,1653.120988,1728.4656672095673,0.956409502,0.730012037
2025LODS,25112,2025LODS_25112,25112606.0,258.9955071,274.93874319577304,0.942011679,0.835905512
2025LODS,25112,2025LODS_25112,25112607.0,1494.531451,1644.9800625292578,0.908540769,0.505467967
2025LODS,25112,2025LODS_25112,25112608.0,1636.448973,1774.0023168184514,0.922461576,0.63237323
2025LODS,25112,2025LODS_25112,25112609.0,428.1643132,437.8344066561097,0.977913811,0.749964708
2025LODS,25112,2025LODS_25112,25112610.0,2054.942234,2149.558523969535,0.955983385,0.577153331
2025LODS,25112,2025LODS_25112,25112709.0,1822.087612,1882.663400746453,0.967824419,0.674124489
2025LODS,25112,2025LODS_25112,25112710.0,1640.641849,1699.537576592173,0.965346028,0.558949618
2025LODS,25113,2025LODS_25113,25113801.0,2262.755135,2409.173587299988,0.939224615,0.682670769
2025LODS,25113,2025LODS_25113,25113802.0,1414.473684,1538.9232091166841,0.919132076,0.681098402
2025LODS,25113,2025LODS_25113,25113803.0,1660.990051,1715.187880043469,0.968401229,0.781465659
2025LODS,25113,2025LODS_25113,25113804.0,1550.275995,1600.6166234846248,0.968549228,0.784507255
2025LODS,25113,2025LODS_25113,25113805.0,1315.781451,1433.2257428343657,0.918055971,0.776943685
2025LODS,25113,2025LODS_25113,25113806.0,1287.366816,1381.3311357877938,0.931975529,0.810614166
2025LODS,25113,2025LODS_25113,25113807.0,1015.134788,1075.2082400237402,0.944128542,0.758234544
2025LODS,25113,2025LODS_25113,25113808.0,1853.831836,2061.8216425914607,0.899123279,0.557829394
2025LODS,25113,2025LODS_25113,25113809.0,2012.426187,2141.812232970608,0.939590388,0.687530685
2025LODS,25114,2025LODS_25114,25114901.0,799.5073813,834.6339989418693,0.957913747,0.584750628
2025LODS,25114,2025LODS_25114,25114902.0,662.8369705,710.0160989420161,0.93355203,0.695828534
2025LODS,25114,2025LODS_25114,25114903.0,1684.587612,2035.853613236928,0.827460089,0.489496041
2025LODS,25114,2025LODS_25114,25114904.0,1847.676508,2083.357143163516,0.886874588,0.485446299
2025LODS,25114,2025LODS_25114,25114905.0,830.7894737,913.9447213794865,0.909015014,0.577061392
2025LODS,25114,2025LODS_25114,25114906.0,861.6752246,899.7913620711713,0.957638916,0.66744298
2025LODS,25114,2025LODS_25114,25114907.0,684.6052632,731.5871826581855,0.935780833,0.80336726
2025LODS,25114,2025LODS_25114,25114908.0,766.5853659,829.8864889881428,0.923723155,0.700410314
2025LODS,25114,2025LODS_25114,25114909.0,1461.787548,1524.043826952814,0.959150598,0.734019419
2025LODS,25107,2025LODS_25107,25107101.0,1035.245507,1116.9926425897388,0.926814974,0.390075587
2025LODS,25107,2025LODS_25107,25107102.0,1326.286906,1470.2092063618065,0.902107605,0.562654738
2025LODS,25107,2025LODS_25107,25107103.0,2390.827985,2664.8869258007917,0.897159261,0.456154619
2025LODS,25107,2025LODS_25107,25107104.0,2488.189987,2720.129975334197,0.91473202,0.449241736
2025LODS,25107,2025LODS_25107,25107105.0,2505.21181,2833.627497062229,0.884100614,0.496962159
2025LODS,25107,2025LODS_25107,25107106.0,2315.911425,2535.799161588936,0.913286612,0.399031594
2025LODS,25107,2025LODS_25107,25107107.0,2008.035944,2196.841625822226,0.914055852,0.460023982
2025LODS,25107,2025LODS_25107,25107108.0,2547.597882,2753.5831292365324,0.925193743,0.503438378
2025LODS,25107,2025LODS_25107,25107109.0,1584.210526,1762.9584034887428,0.898609135,0.399933026
2025LODS,25107,2025LODS_25107,25107110.0,1585.044929,1772.1279603083924,0.894430292,0.549677666
2025LODS,25107,2025LODS_25107,25107111.0,2037.997433,2359.736908640762,0.863654514,0.530019
2025LODS,25107,2025LODS_25107,25107112.0,3938.173941,4586.900487952908,0.858569736,0.471240597
2025LODS,25107,2025LODS_25107,25107204.0,2665.702824,3123.578068960361,0.853413222,0.449898338
2025LODS,25107,2025LODS_25107,25107205.0,2740.994865,3001.070204880688,0.913339135,0.471718051
2025LODS,25107,2025LODS_25107,25107206.0,1823.43389,2245.283894938044,0.812117298,0.462188894
2025LODS,25107,2025LODS_25107,25107207.0,2319.634146,2766.810727404229,0.838378326,0.402401164
2025LODS,25107,2025LODS_25107,25107208.0,1785.54878,2040.751690983459,0.874946613,0.410799268
2025LODS,25107,2025LODS_25107,25107209.0,1467.145379,1670.7524081426936,0.878134529,0.457866345
2025LODS,25107,2025LODS_25107,25107210.0,1599.695122,1753.7142961489953,0.912175447,0.557387381
2025LODS,25107,2025LODS_25107,25107211.0,1675.269576,1852.9524473751062,0.90410824,0.448634142
2025LODS,25107,2025LODS_25107,25107212.0,2312.83697,2562.065884770806,0.902723456,0.364147333
2025LODS,25110,2025LODS_25110,25110301.0,1782.989409,1956.4326019591801,0.911347218,0.520558021
2025LODS,25110,2025LODS_25110,25110302.0,1480.022465,1692.4865096778358,0.874466329,0.512527956
2025LODS,25110,2025LODS_25110,25110303.0,1611.01733,2008.4749500207106,0.802109745,0.618072001
2025LODS,25110,2025LODS_25110,25110304.0,1064.634146,1221.4910031599934,0.871585745,0.569009031
2025LODS,25110,2025LODS_25110,25110305.0,1594.544288,1897.7655317597762,0.840221967,0.534381915
2025LODS,25110,2025LODS_25110,25110306.0,875.555199,1064.3862111217177,0.82259164,0.445268307
2025LODS,25110,2025LODS_25110,25110307.0,1489.141528,1629.1041524498949,0.914086141,0.480003827
2025LODS,25110,2025LODS_25110,25110308.0,1340.468549,1467.8781002281376,0.913201545,0.507020188
2025LODS,25110,2025LODS_25110,25110309.0,1535.141207,1717.1147485641982,0.894023657,0.303822144
2025LODS,25110,2025LODS_25110,25110310.0,1065.827985,1259.1946217653701,0.846436259,0.590226283
2025LODS,25110,2025LODS_25110,25110311.0,854.7769576,995.9366537059245,0.858264383,0.441207781
2025LODS,25110,2025LODS_25110,25110312.0,1500.42362,1765.4141478730912,0.849898944,0.355166681
2025LODS,25110,2025LODS_25110,25110401.0,1017.817715,1091.1873497560982,0.932761652,0.456787466
2025LODS,25110,2025LODS_25110,25110402.0,894.4239409,1015.3699658915207,0.880884772,0.448570906
2025LODS,25110,2025LODS_25110,25110403.0,1357.461489,1554.6514928437373,0.873161281,0.538473498
2025LODS,25110,2025LODS_25110,25110404.0,1325.861682,1498.4441103105446,0.884825582,0.534808348
2025LODS,25110,2025LODS_25110,25110405.0,2104.139923,2585.6763828301373,0.8137677,0.368409091
2025LODS,25110,2025LODS_25110,25110406.0,1424.210526,1606.1972106907801,0.886697173,0.442391372
2025LODS,25110,2025LODS_25110,25110407.0,1069.698331,1220.960395294198,0.876112227,0.543269231
2025LODS,25110,2025LODS_25110,25110409.0,402.0394737,439.849208085386,0.914039326,0.474196596
2025LODS,25110,2025LODS_25110,25110410.0,837.1774711,1109.11619238633,0.754814939,0.452411418
2025LODS,25110,2025LODS_25110,25110411.0,231.2130937,297.34732975980404,0.777585909,0.355235886
2025LODS,25110,2025LODS_25110,25110412.0,646.2564185,739.5782300200491,0.873817525,0.326918707
2025LODS,25110,2025LODS_25110,25110501.0,1158.129012,1276.2144906773028,0.907472075,0.383119446
2025LODS,25110,2025LODS_25110,25110502.0,769.258665,857.1625181339086,0.897447857,0.429382991
2025LODS,25110,2025LODS_25110,25110503.0,712.8690629,817.7559610351936,0.871738143,0.334150542
2025LODS,25110,2025LODS_25110,25110504.0,1186.198652,1377.3015712770436,0.861248311,0.504526808
2025LODS,25110,2025LODS_25110,25110505.0,1316.933569,1581.4778777948006,0.832723358,0.55529378
2025LODS,25110,2025LODS_25110,25110506.0,695.9403081,774.2810478950003,0.898821313,0.45165147
2025LODS,25110,2025LODS_25110,25110507.0,641.5099487,741.1085408194232,0.86560863,0.510237275
2025LODS,25110,2025LODS_25110,25110508.0,394.6726573,426.5562251185767,0.92525354,0.416752386
2025LODS,25110,2025LODS_25110,25110509.0,690.6980103,730.8280388170543,0.945089643,0.464214391
2025LODS,25110,2025LODS_25110,25110510.0,1385.982028,1773.3561881733929,0.78155874,0.377397752
2025LODS,25110,2025LODS_25110,25110511.0,557.2721438,773.8825711990439,0.720099101,0.361317582
2025LODS,25110,2025LODS_25110,25110512.0,1164.974326,1380.287797817414,0.844008277,0.174859794
2025LODS,25110,2025LODS_25110,25110604.0,223.7243261,256.5520384004693,0.872042676,0.347465228
2025LODS,25110,2025LODS_25110,25110605.0,429.8459564,497.41859009170497,0.864153381,0.469926206
2025LODS,25110,2025LODS_25110,25110606.0,1469.608472,1582.5431745624028,0.928637206,0.393680635
