Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2501,2,18,2133.657528,0.947088308,3.8566253169999998,0.0015803737874526284
SVREC_2025,2501,2,13,2539.600682,0.986549292,4.544292476,0.0014949230990309874
SVREC_2025,2501,2,3,2787.440153,0.9780374,4.3795784365,0.001346416186931202
SVREC_2025,2501,2,4,3309.006338,0.948256693,4.126699123,0.0012603641088751133
SVREC_2025,2501,2,28,2657.545132,0.973371972,4.306056355,0.0015357093189005547
SVREC_2025,2501,2,23,2516.709046,0.884218585,3.0437938185,0.0023036153655111927
SVREC_2025,2501,3,12,2397.371807,0.980315678,4.4280624795,0.001934104151819762
SVREC_2025,2501,3,28,2774.460222,0.987988918,4.3994966015,0.0019010963671252492
SVREC_2025,2501,3,5,2521.395525,0.97333552,4.7182070035,0.0026387161937795438
SVREC_2025,2501,3,30,2855.379345,0.981318461,4.371377849,0.0014003323925229642
SVREC_2025,2501,3,10,2493.1884,0.983906244,4.2351408185,0.002196400386738552
SVREC_2025,2501,3,14,3092.515748,0.984635853,4.3463691035,0.0024851612084696127
SVREC_2025,2501,3,7,2922.590023,0.983011611,4.50189481,0.002400574288978269
SVREC_2025,2501,3,18,2516.370991,0.954122086,4.363022586,0.0035655063952970347
SVREC_2025,2501,3,4,2454.329004,0.977452517,4.2130361655,0.0021117784634447586
SVREC_2025,2501,3,9,3346.199611,0.982136998,4.4546592904999995,0.0013382801389629029
SVREC_2025,2501,3,6,3497.646534,0.990667493,4.5802103445,0.0019314836207730201
SVREC_2025,2501,3,23,4040.77475,0.979240709,4.3363985735,0.0022431911602314933
SVREC_2025,2501,3,21,2681.214567,0.955509787,4.53322851,0.0030470431885990263
SVREC_2025,2501,3,15,2398.328572,0.983212118,4.778424043,0.0011957003127428855
SVREC_2025,2501,3,24,2980.355747,0.967941241,4.2834527855,0.002163320497981461
SVREC_2025,2501,3,20,2414.168235,0.980004375,4.439529525,0.0028345244865454955
SVREC_2025,2501,3,11,2240.757874,0.987442132,4.4529924065,0.0025498170016705836
SVREC_2025,2501,3,25,2636.690297,0.953741001,4.224443108,0.0018493871511104385
SVREC_2025,2501,3,27,2877.6244,0.963270812,4.23224293,0.001340893635604951
SVREC_2025,2501,3,1,2914.114053,0.981718098,4.2828040385,0.001582881741694827
SVREC_2025,2501,3,16,2709.284329,0.969705807,4.2432968475,0.0030008039141495653
SVREC_2025,2501,3,26,2927.747335,0.974282798,4.231805259,0.002327021075502875
SVREC_2025,2501,3,2,3110.537402,0.957477445,4.437217559,0.0019870729601134847
SVREC_2025,2501,3,19,3121.350394,0.980733126,4.3820999465,0.0014436258367002174
SVREC_2025,2501,3,3,3045.905944,0.973059186,4.2665556015,0.0023168646178171972
SVREC_2025,2501,3,22,3802.077012,0.977015475,4.171484899,0.0020409865350478357
