trial_id,Site,Trial,n_plots,n_entries,cv_nocov,h2_nocov,var_g_nocov,var_e_nocov,cv_ha,h2_ha,var_g_ha,var_e_ha,cv_nn_sum,h2_nn_sum,var_g_nn_sum,var_e_nn_sum,cv_nn_var,h2_nn_var,var_g_nn_var,var_e_nn_var,cv_both_nn,h2_both_nn,var_g_both_nn,var_e_both_nn,cv_ha_nn_sum,h2_ha_nn_sum,var_g_ha_nn_sum,var_e_ha_nn_sum,cv_ha_nn_var,h2_ha_nn_var,var_g_ha_nn_var,var_e_ha_nn_var,cv_all3,h2_all3,var_g_all3,var_e_all3,delta_cv_ha,delta_h2_ha,delta_cv_nn_sum,delta_h2_nn_sum,delta_cv_nn_var,delta_h2_nn_var,delta_cv_both_nn,delta_h2_both_nn,delta_cv_ha_nn_sum,delta_h2_ha_nn_sum,delta_cv_ha_nn_var,delta_h2_ha_nn_var,delta_cv_all3,delta_h2_all3
SVREC_2501,SVREC_2025,2501,120,30,9.847186487297375,0.6794479603343081,150660.4389334932,71079.043306418,9.736088818516144,0.6843701181392008,150660.4389334932,69484.23854473779,9.757992746145941,0.6833984726539114,150660.4389334932,69797.23687666489,9.81697309969273,0.6807850454020438,150660.4389334932,70643.53939423183,9.714547557055015,0.685326235850917,150660.4389334932,69177.10857616794,9.723099251536187,0.6849465993560011,150660.4389334932,69298.95509101442,9.659298726544337,0.6877809700446925,150660.4389334932,68392.49433347867,9.651058717715525,0.6881473803047191,150660.4389334932,68275.85762957607,0.1110976687812304,0.004922157804892691,0.08919374115143341,0.003950512319603305,0.030213387604645092,0.001337085067735666,0.13263893024235962,0.005878275516608911,0.12408723576118774,0.005498639021693008,0.18788776075303737,0.00833300971038442,0.19612776958184952,0.008699419970411015
SVREC_2502,SVREC_2025,2502,144,36,11.624957285287786,0.3747667667736433,53605.01545821848,89430.65421895853,11.465005115123681,0.3812818324385176,53605.01545821848,86986.56509358341,11.613884833734325,0.37521344624163705,53605.01545821848,89260.37488202244,11.598752733839568,0.3758249314008479,53605.01545821848,89027.9260510407,11.591617287157971,0.3761136879346858,53605.01545821848,88918.42141155928,11.385811803624513,0.38455747004981194,53605.01545821848,85789.0143893229,11.436624810887764,0.3824518829358684,53605.01545821848,86556.44759099666,11.368619794324255,0.38527298826264833,53605.01545821848,85530.13569770646,0.15995217016410557,0.006515065664874309,0.011072451553461704,0.00044667946799376024,0.026204551448218538,0.0010581646272045941,0.03333999812981503,0.0013469211610425136,0.23914548166327343,0.009790703276168655,0.18833247440002232,0.007685116162225114,0.2563374909635314,0.010506221489005041
SVREC_2503,SVREC_2025,2503,120,40,10.268729668442592,0.6779447911166057,119415.07844943542,56727.698977548585,10.26715047987607,0.6780119466100024,119415.07844943542,56710.252448493244,10.267968355631126,0.6779771658133107,119415.07844943542,56719.2878255459,10.267159746043045,0.6780115525546431,119415.07844943542,56710.354811248435,10.266834707089608,0.6780253753045565,119415.07844943542,56706.76418189139,10.267148322333568,0.678012038362215,119415.07844943542,56710.22861427218,10.266656692026723,0.6780329457050428,119415.07844943542,56704.79773927008,10.266647814015272,0.6780333232589263,119415.07844943542,56704.69966924766,0.0015791885665219496,6.715549339675331e-05,0.000761312811466297,3.237469670502868e-05,0.001569922399546897,6.676143803741041e-05,0.0018949613529848364,8.058418795087174e-05,0.00158134610902394,6.724724560935869e-05,0.002072976415869121,8.81545884371393e-05,0.002081854427320451,8.853214232062978e-05
SVREC_2504,SVREC_2025,2504,96,32,9.716829352870414,0.6661055117701032,109143.84001589534,54709.840951039485,9.589542847025465,0.6719450281739415,109143.84001589534,53285.87586800888,9.715550579955929,0.666164052847959,109143.84001589534,54695.441838608494,9.701694807995151,0.6667985230650358,109143.84001589534,54539.54595532711,9.701551845735487,0.6668050710308435,109143.84001589534,54537.93859920285,9.549934654560309,0.673767143016084,109143.84001589534,52846.6060116722,9.582932279496115,0.6722489751969453,109143.84001589534,53212.435773026526,9.520931271470033,0.6751028645338422,109143.84001589534,52526.100595686934,0.12728650584494972,0.005839516403838285,0.0012787729144854154,5.8541077855744916e-05,0.01513454487526289,0.0006930112949325995,0.015277507134927149,0.000699559260740279,0.16689469831010584,0.007661631245980738,0.13389707337429968,0.006143463426842022,0.19589808140038123,0.00899735276373892
SVREC_2506,SVREC_2025,2506,192,32,9.748731352385859,0.7915907700995718,265591.41590238485,69924.6435748838,9.720280706801718,0.7925534576339469,265591.41590238485,69517.10371125661,9.744933254717369,0.7917193140378204,265591.41590238485,69870.16902201374,9.747274067066162,0.7916400918806258,265591.41590238485,69903.73982102476,9.743409093219139,0.7917708958602759,265591.41590238485,69848.31456890778,9.70413426447227,0.7930995940143538,265591.41590238485,69286.34460442237,9.719883835104119,0.7925668832608475,265591.41590238485,69511.42716578067,9.703853490254422,0.7931090895269065,265591.41590238485,69282.3352745326,0.028450645584140233,0.0009626875343751173,0.0037980976684899304,0.0001285439382485709,0.0014572853196970215,4.932178105399032e-05,0.0053222591667196895,0.00018012576070414177,0.04459708791358885,0.0015088239147820204,0.028847517281739954,0.0009761131612756602,0.044877862131436075,0.0015183194273347134
SVREC_2507,SVREC_2025,2507,72,18,8.843291537112032,0.7092900338197058,153056.36206625018,62731.75671218951,8.791686414838077,0.7116976947579787,153056.36206625018,62001.74925487587,8.813055070516281,0.7107004605058045,153056.36206625018,62303.5125528266,8.840785587186046,0.7094068982191055,153056.36206625018,62696.20877917398,8.793944495716719,0.7115922967453719,153056.36206625018,62033.60274406044,8.790271051864423,0.7117637602485094,153056.36206625018,61981.7876883976,8.758271045331306,0.7132578673471368,153056.36206625018,61531.333454756794,8.753133295696369,0.713497828708585,153056.36206625018,61459.16399117137,0.05160512227395486,0.0024076609382729375,0.030236466595750855,0.001410426686098698,0.002505949925986073,0.00011686439939972981,0.049347041395312985,0.002302262925666154,0.05302048524760927,0.002473726428803613,0.08502049178072646,0.0039678335274310195,0.0901582414156632,0.004207794888879235
SVREC_2508,SVREC_2025,2508,96,32,11.268241756278087,0.8556656419505251,458432.38965632214,77328.73850035669,11.254720812765548,0.855961950638935,458432.38965632214,77143.27385783778,11.08165730652001,0.859741097045967,458432.38965632214,74789.0548360673,11.264584718155216,0.8557458000384461,458432.38965632214,77278.55351830534,11.079693087747874,0.8597838431328033,458432.38965632214,74762.54453309836,10.887463810848248,0.8639508577420636,458432.38965632214,72190.83450996396,11.241207062337079,0.8562579509729267,458432.38965632214,76958.13037963955,10.810855478127614,0.8656022979946396,458432.38965632214,71178.4844349122,0.013520943512538963,0.00029630868840990754,0.18658444975807775,0.004075455095441938,0.0036570381228706594,8.015808792105616e-05,0.18854866853021335,0.004118201182278236,0.38077794542983945,0.008285215791538514,0.027034693941008214,0.0005923090224015937,0.45738627815047295,0.009936656044114534
SVREC_2509,SVREC_2025,2509,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVREC_2510,SVREC_2025,2510,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVREC_2511,SVREC_2025,2511,67,23,11.862998591827262,0.8970221558181856,464687.1965891749,53345.935117954104,11.633092402816105,0.9005819456006378,464687.1965891749,51298.27131764014,11.525206599887564,0.9022379708715776,464687.1965891749,50351.198591953376,11.661798866073953,0.9001397390046542,464687.1965891749,51551.75660159431,11.492976526605762,0.9027308760709705,464687.1965891749,50069.97956023418,11.525044609658655,0.9022404503454976,464687.1965891749,50349.783199561985,11.614470373025469,0.9008684562248932,464687.1965891749,51134.16820414429,11.45843991434847,0.9032581193677416,464687.1965891749,49769.50922426907,0.22990618901115667,0.003559789782452194,0.33779199193969767,0.005215815053392081,0.2011997257533089,0.0031175831864685977,0.37002206522149983,0.005708720252784905,0.3379539821686066,0.00521829452731204,0.248528218801793,0.0038463004067076367,0.4045586774787928,0.006235963549556023
